priority,reporter_experience,reproduction_steps,num_attachments,description_length,affected_users_count,prev_similar_tickets,auto_tag_count,sla_breached,resolution_time,affected_users_count_log,is_widespread,is_critical_impact,affects_users,impact_level,num_attachments_log,has_attachments,many_attachments,attachment_category,is_multi_category,tag_complexity,affected_users_count_is_outlier,affected_users_count_is_extreme,num_attachments_is_outlier,num_attachments_is_extreme,auto_tag_count_is_outlier,auto_tag_count_is_extreme,description_length_is_outlier,description_length_is_extreme,prev_similar_tickets_is_outlier,prev_similar_tickets_is_extreme,severity_score,is_critical_incident,documentation_score,impact_per_doc,priority_encoded,reporter_experience_encoded,module_version_frequency,product_area_frequency,product_area_Auth,product_area_Backend,product_area_Database,product_area_Devops,product_area_Ml,product_area_Security,product_area_Ui,customer_type_Free-Tier,customer_type_Internal,customer_type_Smb,ticket_type_Crash,ticket_type_Feature Request,ticket_type_Performance,ticket_type_Question,assigned_team_Qa,assigned_team_Security,assigned_team_Sre,assigned_team_Support
Medium,Mid,0,1,568.0,15.0,1.0,1,0,16.0,2.772588722239781,0,0,1,small_team,0.6931471805599453,1,0,few,0,minimal,0,0,0,0,0,0,0,0,0,0,2.5836649250079016,0,0.8,1.6375355634014348,2.0,2,0.0012060301507537,0.12,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Medium,Mid,0,0,597.5284210526315,10.0,1.003157894736842,2,0,10.0,2.3978952727983707,0,0,1,small_team,0.0,0,0,none,0,standard,0,0,0,0,0,0,0,0,0,0,2.3548465301719794,0,0.4,2.3978952727983707,2.0,2,0.0010050251256281,0.12,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False
Medium,Senior,1,1,687.0,14.0,2.0,5,1,5.0,2.70805020110221,0,0,1,small_team,0.6931471805599453,1,0,few,1,complex,0,0,0,0,0,0,0,0,0,0,2.995849516552873,0,1.0,1.5994180731568908,2.0,3,0.0010050251256281,0.1252261306532663,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False
Medium,Mid,1,0,379.0,9.0,1.0,3,0,17.0,2.302585092994046,0,0,1,small_team,0.0,0,0,none,0,standard,0,0,0,0,0,0,0,0,0,0,1.8790340371976184,0,0.2,2.302585092994046,2.0,2,0.0012060301507537,0.12,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
Urgent,Mid,1,1,706.0,10.0,1.0,2,1,20.0,2.3978952727983707,0,0,1,small_team,0.6931471805599453,1,0,few,0,standard,0,0,0,0,0,0,0,0,0,0,2.7097875452313374,0,1.0,1.4162355761684913,,2,0.0010050251256281,0.1206030150753768,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Medium,Junior,1,0,365.0,6.0,4.0,1,1,27.0,1.9459101490553128,0,0,1,small_team,0.0,0,0,none,0,minimal,0,0,0,0,0,0,0,0,0,0,2.308364059622125,0,0.2,1.9459101490553128,2.0,1,0.0006030150753768,0.12,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False
High,Senior,1,1,689.0,10.0,0.0,1,0,3.0,2.3978952727983707,0,0,1,small_team,0.6931471805599453,1,0,few,0,minimal,0,0,0,0,0,0,0,0,0,0,2.4757875452313374,0,1.0,1.4162355761684913,3.0,3,0.0012060301507537,0.1214070351758793,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Medium,Mid,1,1,396.0,10.0,1.0,3,0,27.0,2.3978952727983707,0,0,1,small_team,0.6931471805599453,1,0,few,0,standard,0,0,0,0,0,0,0,0,0,0,2.0897875452313373,0,0.6000000000000001,1.4162355761684913,2.0,2,0.0006030150753768,0.1228140703517588,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
Low,Mid,1,1,873.0,13.0,1.0,1,0,45.0,2.6390573296152584,0,0,1,small_team,0.6931471805599453,1,0,few,0,minimal,0,0,0,0,0,0,0,0,0,0,3.1402523679580927,0,1.0,1.558669771840206,1.0,2,0.0008040201005025,0.1288442211055276,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
High,Mid,0,2,542.0,9.0,0.0,4,0,16.0,2.302585092994046,0,0,1,small_team,1.0986122886681098,1,0,few,1,complex,0,0,0,0,0,0,0,0,0,0,2.2247564949312406,0,0.8,1.0971941341558558,3.0,2,0.0012060301507537,0.1206030150753768,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False
Low,Senior,1,0,597.5284210526315,10.0,1.003157894736842,2,0,36.0,2.3978952727983707,0,0,1,small_team,0.0,0,0,none,0,standard,0,0,0,0,0,0,0,0,0,0,2.3548465301719794,0,0.6000000000000001,2.3978952727983707,1.0,3,0.001608040201005,0.12,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False
Medium,Junior,0,2,525.0,9.0,0.0,0,0,35.0,2.302585092994046,0,0,1,small_team,1.0986122886681098,1,0,few,0,minimal,0,0,0,0,0,0,0,0,0,0,2.1907564949312404,0,0.8,1.0971941341558558,2.0,1,0.0012060301507537,0.1298492462311558,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
Medium,Mid,1,4,798.0,10.0,1.0,0,0,22.0,2.3978952727983707,0,0,1,small_team,1.6094379124341005,1,0,moderate,0,minimal,0,0,0,0,0,0,0,0,0,0,3.077045691606169,0,1.0,0.9189317214149,2.0,2,0.0008040201005025,0.1206030150753768,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
High,Mid,0,4,657.0,6.0,0.0,4,0,5.0,1.9459101490553128,0,0,1,small_team,1.6094379124341005,1,0,moderate,1,complex,0,0,0,0,0,0,0,0,0,0,2.4142516421089457,0,0.8,0.7457200417695149,3.0,2,0.0012060301507537,0.1206030150753768,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Medium,Mid,1,0,839.0,8.0,1.0,4,0,18.0,2.19722457733622,0,0,1,small_team,0.0,0,0,none,1,complex,0,0,0,0,0,0,0,0,0,0,2.7568898309344885,0,0.6000000000000001,2.19722457733622,2.0,2,0.0012060301507537,0.1298492462311558,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False
Medium,Mid,1,0,331.0,7.0,1.0,0,0,26.0,2.079441541679836,0,0,1,small_team,0.0,0,0,none,0,minimal,0,0,0,0,0,0,0,0,0,0,1.6937766166719344,0,0.2,2.079441541679836,2.0,2,0.0010050251256281,0.12,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Low,Junior,1,2,443.0,13.0,0.0,0,1,30.0,2.6390573296152584,0,0,1,small_team,1.0986122886681098,1,0,few,0,minimal,0,0,0,0,0,0,0,0,0,0,2.1613453895797257,0,1.0,1.257524957737736,1.0,1,0.0012060301507537,0.12,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False
Medium,Mid,1,0,543.0,11.0,3.0,2,0,37.0,2.4849066497880004,0,0,1,small_team,0.0,0,0,none,0,standard,0,0,0,0,0,0,0,0,0,0,2.6799626599152004,0,0.6000000000000001,2.4849066497880004,2.0,2,0.0018090452261306,0.1252261306532663,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
Medium,Senior,0,2,415.0,7.0,0.0,1,0,33.0,2.079441541679836,0,0,1,small_team,1.0986122886681098,1,0,few,0,minimal,0,0,0,0,0,0,0,0,0,0,1.8814990744055564,0,0.8,0.9908650363424484,2.0,3,0.0012060301507537,0.1298492462311558,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Urgent,Mid,0,2,340.0,8.0,1.0,2,1,7.0,2.19722457733622,0,0,1,small_team,1.0986122886681098,1,0,few,0,standard,0,0,0,0,0,0,0,0,0,0,1.97861228866811,0,0.4,1.0469892839189912,,2,0.0024120603015075,0.1298492462311558,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
Low,Junior,1,3,750.0,9.0,2.0,2,0,30.0,2.302585092994046,0,0,1,small_team,1.3862943611198906,1,0,moderate,0,standard,0,0,0,0,0,0,0,0,0,0,3.0982929094215965,0,1.0,0.9649208121639444,1.0,1,0.0018090452261306,0.1288442211055276,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Low,Mid,1,2,712.0,12.0,2.0,3,0,2.0,2.5649493574615367,0,0,1,small_team,1.0986122886681098,1,0,few,0,standard,0,0,0,0,0,0,0,0,0,0,3.0697022007182366,0,1.0,1.2222121119329712,1.0,2,0.0018090452261306,0.1214070351758793,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Medium,Mid,1,2,743.0,10.0,0.0,3,0,11.0,2.3978952727983707,0,0,1,small_team,1.0986122886681098,1,0,few,0,standard,0,0,0,0,0,0,0,0,0,0,2.66488056685297,0,1.0,1.1426099455084204,2.0,2,0.0014070351758793,0.1298492462311558,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True
Medium,Mid,1,1,545.0,10.0,0.0,2,0,20.0,2.3978952727983707,0,0,1,small_team,0.6931471805599453,1,0,few,0,standard,0,0,0,0,0,0,0,0,0,0,2.1877875452313376,0,1.0,1.4162355761684913,2.0,2,0.0012060301507537,0.1228140703517588,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
Low,Mid,1,0,441.0,8.0,1.0,5,0,17.0,2.19722457733622,0,0,1,small_team,0.0,0,0,none,1,complex,0,0,0,0,0,0,0,0,0,0,1.960889830934488,0,0.6000000000000001,2.19722457733622,1.0,2,0.0012060301507537,0.1214070351758793,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
Medium,Mid,0,1,615.0,10.0,2.0,2,1,24.0,2.3978952727983707,0,0,1,small_team,0.6931471805599453,1,0,few,0,standard,0,0,0,0,0,0,0,0,0,0,2.727787545231337,0,0.8,1.4162355761684913,2.0,2,0.0020100502512562,0.1214070351758793,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
Low,Mid,0,1,508.0,6.0,0.0,5,0,10.0,1.9459101490553128,0,0,1,small_team,0.6931471805599453,1,0,few,1,complex,0,0,0,0,0,0,0,0,0,0,1.9329934957341144,0,0.8,1.1492858809898474,1.0,2,0.0004020100502512,0.1206030150753768,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
Medium,Junior,1,0,364.0,9.0,1.0,2,0,29.0,2.302585092994046,0,0,1,small_team,0.0,0,0,none,0,standard,0,0,0,0,0,0,0,0,0,0,1.8490340371976184,0,0.2,2.302585092994046,2.0,1,0.0014070351758793,0.1288442211055276,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
Medium,Mid,0,0,769.0,7.0,1.0,3,1,4.0,2.079441541679836,0,0,1,small_team,0.0,0,0,none,0,standard,0,0,0,0,0,0,0,0,0,0,2.569776616671935,0,0.4,2.079441541679836,2.0,2,0.0006030150753768,0.1298492462311558,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True
Medium,Junior,1,0,518.0,7.0,0.0,6,1,27.0,2.079441541679836,0,0,1,small_team,0.0,0,0,none,1,very_complex,0,0,0,0,0,0,0,0,0,0,1.8677766166719345,0,0.6000000000000001,2.079441541679836,2.0,1,0.0008040201005025,0.1228140703517588,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
High,Mid,1,0,597.5284210526315,10.0,1.003157894736842,6,0,22.0,2.3978952727983707,0,0,1,small_team,0.0,0,0,none,1,very_complex,0,0,0,0,0,0,0,0,0,0,2.3548465301719794,0,0.6000000000000001,2.3978952727983707,3.0,2,0.0022110552763819,0.1312562814070351,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
High,Senior,1,2,829.0,11.0,0.0,3,0,31.0,2.4849066497880004,0,0,1,small_team,1.0986122886681098,1,0,few,0,standard,0,0,0,0,0,0,0,0,0,0,2.871685117648822,0,1.0,1.1840713328544612,3.0,3,0.0012060301507537,0.1252261306532663,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False
Low,Junior,0,2,502.0,8.0,0.0,1,0,22.0,2.19722457733622,0,0,1,small_team,1.0986122886681098,1,0,few,0,minimal,0,0,0,0,0,0,0,0,0,0,2.10261228866811,0,0.8,1.0469892839189912,1.0,1,0.0008040201005025,0.1312562814070351,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
Medium,Senior,0,0,529.0,12.0,1.0,2,0,19.0,2.5649493574615367,0,0,1,small_team,0.0,0,0,none,0,standard,0,0,0,0,0,0,0,0,0,0,2.2839797429846147,0,0.4,2.5649493574615367,2.0,3,0.0010050251256281,0.1312562814070351,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Urgent,Senior,0,0,498.0,3.0,1.0,2,1,1.0,1.3862943611198906,0,0,1,individual,0.0,0,0,none,0,standard,0,0,0,0,0,0,0,0,0,0,1.7505177444479565,0,0.4,1.3862943611198906,,3,0.001608040201005,0.1252261306532663,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
High,Senior,0,1,854.0,14.0,2.0,1,0,17.0,2.70805020110221,0,0,1,small_team,0.6931471805599453,1,0,few,0,minimal,0,0,0,0,0,0,0,0,0,0,3.329849516552873,0,0.8,1.5994180731568908,3.0,3,0.0012060301507537,0.12,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
Medium,Mid,1,0,119.0,8.0,0.0,2,0,5.0,2.19722457733622,0,0,1,small_team,0.0,0,0,none,0,standard,0,0,0,0,0,0,1,0,0,0,1.116889830934488,0,0.2,2.19722457733622,2.0,2,0.0010050251256281,0.1288442211055276,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False
Medium,Mid,0,0,417.0,7.0,2.0,0,1,34.0,2.079441541679836,0,0,1,small_team,0.0,0,0,none,0,minimal,0,0,0,0,0,0,0,0,0,0,2.0657766166719345,0,0.4,2.079441541679836,2.0,2,0.0014070351758793,0.1312562814070351,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Medium,Mid,1,2,625.0,5.0,1.0,1,0,4.0,1.791759469228055,0,0,1,individual,1.0986122886681098,1,0,few,0,minimal,0,0,0,0,0,0,0,0,0,0,2.386426245424844,0,1.0,0.8537829874069783,2.0,2,0.0008040201005025,0.1206030150753768,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Medium,Mid,0,1,379.0,7.0,0.0,1,0,27.0,2.079441541679836,0,0,1,small_team,0.6931471805599453,1,0,few,0,minimal,0,0,0,0,0,0,0,0,0,0,1.7284060527839236,0,0.4,1.2281516725510762,2.0,2,0.001608040201005,0.1298492462311558,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Low,Mid,1,2,687.0,10.0,2.0,0,0,22.0,2.3978952727983707,0,0,1,small_team,1.0986122886681098,1,0,few,0,minimal,0,0,0,0,0,0,0,0,0,0,2.9528805668529703,0,1.0,1.1426099455084204,1.0,2,0.0014070351758793,0.1312562814070351,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
High,Senior,1,3,861.0,7.0,0.0,3,0,19.0,2.079441541679836,0,0,1,small_team,1.3862943611198906,1,0,moderate,0,standard,0,0,0,0,0,0,0,0,0,0,2.831035488895912,0,1.0,0.8714103237053921,3.0,3,0.0010050251256281,0.1228140703517588,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
Low,Senior,1,2,536.0,13.0,1.0,0,0,31.0,2.6390573296152584,0,0,1,small_team,1.0986122886681098,1,0,few,0,minimal,0,0,0,0,0,0,0,0,0,0,2.547345389579726,0,1.0,1.257524957737736,1.0,3,0.0024120603015075,0.1288442211055276,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
Medium,Senior,1,3,411.0,11.0,2.0,3,0,7.0,2.4849066497880004,0,0,1,small_team,1.3862943611198906,1,0,moderate,0,standard,0,0,0,0,0,0,0,0,0,0,2.493221532139178,0,1.0,1.0413244444083716,2.0,3,0.0010050251256281,0.12,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False
Low,Mid,1,0,580.0,7.0,0.0,0,0,13.0,2.079441541679836,0,0,1,small_team,0.0,0,0,none,0,minimal,0,0,0,0,0,0,0,0,0,0,1.9917766166719344,0,0.6000000000000001,2.079441541679836,1.0,2,0.0012060301507537,0.1214070351758793,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
Medium,Junior,0,3,545.0,15.0,2.0,1,1,24.0,2.772588722239781,0,0,1,small_team,1.3862943611198906,1,0,moderate,0,minimal,0,0,0,0,0,0,0,0,0,0,2.8762943611198906,0,0.8,1.1618804316071896,2.0,1,0.0012060301507537,0.1214070351758793,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Medium,Junior,1,3,851.0,8.0,0.0,2,0,5.0,2.19722457733622,0,0,1,small_team,1.3862943611198906,1,0,moderate,0,standard,0,0,0,0,0,0,0,0,0,0,2.858148703158466,0,1.0,0.9207684572095536,2.0,1,0.0010050251256281,0.1312562814070351,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False
Low,Mid,0,1,597.5284210526315,10.0,1.003157894736842,4,0,33.0,2.3978952727983707,0,0,1,small_team,0.6931471805599453,1,0,few,1,complex,0,0,0,0,0,0,0,0,0,0,2.4934759662839685,0,0.8,1.4162355761684913,1.0,2,0.0014070351758793,0.1288442211055276,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
Low,Mid,0,3,534.0,11.0,0.0,3,0,11.0,2.4849066497880004,0,0,1,small_team,1.3862943611198906,1,0,moderate,0,standard,0,0,0,0,0,0,0,0,0,0,2.3392215321391783,0,0.8,1.0413244444083716,1.0,2,0.0020100502512562,0.1252261306532663,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
Low,Junior,0,1,351.0,8.0,0.0,1,0,2.0,2.19722457733622,0,0,1,small_team,0.6931471805599453,1,0,few,0,minimal,0,0,0,0,0,0,0,0,0,0,1.719519267046477,0,0.4,1.2977162307942829,1.0,1,0.0014070351758793,0.1214070351758793,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
High,Mid,1,0,641.0,12.0,2.0,1,0,8.0,2.5649493574615367,0,0,1,small_team,0.0,0,0,none,0,minimal,0,0,0,0,0,0,0,0,0,0,2.707979742984614,0,0.6000000000000001,2.5649493574615367,3.0,2,0.0012060301507537,0.1298492462311558,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True
Medium,Junior,1,0,597.5284210526315,10.0,1.003157894736842,0,0,12.0,2.3978952727983707,0,0,1,small_team,0.0,0,0,none,0,minimal,0,0,0,0,0,0,0,0,0,0,2.3548465301719794,0,0.6000000000000001,2.3978952727983707,2.0,1,0.0010050251256281,0.12,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False
Low,Senior,0,1,723.0,8.0,0.0,1,0,30.0,2.19722457733622,0,0,1,small_team,0.6931471805599453,1,0,few,0,minimal,0,0,0,0,0,0,0,0,0,0,2.463519267046477,0,0.8,1.2977162307942829,1.0,3,0.0010050251256281,0.1312562814070351,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Low,Junior,1,1,727.0,11.0,1.0,0,0,37.0,2.4849066497880004,0,0,1,small_team,0.6931471805599453,1,0,few,0,minimal,0,0,0,0,0,0,0,0,0,0,2.786592096027189,0,1.0,1.4676258970978588,1.0,1,0.0012060301507537,0.1206030150753768,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Low,Mid,1,1,471.0,15.0,0.0,3,1,31.0,2.772588722239781,0,0,1,small_team,0.6931471805599453,1,0,few,0,standard,0,0,0,0,0,0,0,0,0,0,2.189664925007901,0,1.0,1.6375355634014348,1.0,2,0.0014070351758793,0.1312562814070351,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
Urgent,Mid,0,1,864.0,9.0,1.0,0,0,9.0,2.302585092994046,0,0,1,small_team,0.6931471805599453,1,0,few,0,minimal,0,0,0,0,0,0,0,0,0,0,2.987663473309608,0,0.8,1.359943848610108,,2,0.001608040201005,0.1288442211055276,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
High,Junior,1,1,561.0,10.0,2.0,0,1,13.0,2.3978952727983707,0,0,1,small_team,0.6931471805599453,1,0,few,0,minimal,0,0,0,0,0,0,0,0,0,0,2.619787545231337,0,1.0,1.4162355761684913,3.0,1,0.0010050251256281,0.1206030150753768,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Medium,Mid,1,2,472.0,12.0,0.0,1,0,15.0,2.5649493574615367,0,0,1,small_team,1.0986122886681098,1,0,few,0,minimal,0,0,0,0,0,0,0,0,0,0,2.1897022007182367,0,1.0,1.2222121119329712,2.0,2,0.0006030150753768,0.1252261306532663,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True
Low,Junior,0,1,799.0,7.0,1.0,2,0,5.0,2.079441541679836,0,0,1,small_team,0.6931471805599453,1,0,few,0,standard,0,0,0,0,0,0,0,0,0,0,2.768406052783924,0,0.8,1.2281516725510762,1.0,1,0.001608040201005,0.1214070351758793,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
Medium,Mid,1,3,579.0,10.0,0.0,2,1,27.0,2.3978952727983707,0,0,1,small_team,1.3862943611198906,1,0,moderate,0,standard,0,0,0,0,0,0,0,0,0,0,2.3944169813433263,0,1.0,1.0048614755444654,2.0,2,0.0008040201005025,0.1298492462311558,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
High,Junior,0,1,698.0,12.0,0.0,4,0,14.0,2.5649493574615367,0,0,1,small_team,0.6931471805599453,1,0,few,1,complex,0,0,0,0,0,0,0,0,0,0,2.560609179096604,0,0.8,1.514900409669805,3.0,1,0.0006030150753768,0.1312562814070351,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
High,Junior,1,2,700.0,10.0,0.0,2,1,9.0,2.3978952727983707,0,0,1,small_team,1.0986122886681098,1,0,few,0,standard,0,0,0,0,0,0,0,0,0,0,2.57888056685297,0,1.0,1.1426099455084204,3.0,1,0.0008040201005025,0.1312562814070351,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False
High,Mid,1,1,651.0,13.0,0.0,1,0,8.0,2.6390573296152584,0,0,1,small_team,0.6931471805599453,1,0,few,0,minimal,0,0,0,0,0,0,0,0,0,0,2.496252367958093,0,1.0,1.558669771840206,3.0,2,0.0008040201005025,0.12,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True
Low,Junior,1,0,532.0,10.0,0.0,0,0,22.0,2.3978952727983707,0,0,1,small_team,0.0,0,0,none,0,minimal,0,0,0,0,0,0,0,0,0,0,2.023158109119348,0,0.6000000000000001,2.3978952727983707,1.0,1,0.0012060301507537,0.1298492462311558,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
Low,Senior,1,3,817.0,15.0,1.0,3,1,5.0,2.772588722239781,0,0,1,small_team,1.3862943611198906,1,0,moderate,0,standard,0,0,0,0,0,0,0,0,0,0,3.220294361119891,0,1.0,1.1618804316071896,1.0,3,0.0018090452261306,0.1228140703517588,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
