ticket_id,submitted_at,product_area,customer_type,priority,reporter_experience,reproduction_steps,num_attachments,description_length,affected_users_count,prev_similar_tickets,module_version,ticket_type,auto_tag_count,sla_breached,assigned_team,severity,resolved_at,resolution_time
TCKT-100015,2024-03-11 04:10:00,Ml,Free-Tier,High,Mid,0,2,883.0,10.0,2.0,2.2.17,Feature Request,3,0,Sre,Medium,2024-03-12 15:10:00,35.0
TCKT-100016,2023-05-13 01:04:00,Devops,Enterprise,Low,Mid,0,1,572.0,12.0,0.0,3.1.7,Bug,5,0,Support,Low,2023-05-14 22:04:00,45.0
TCKT-100017,2023-03-25 16:52:00,Security,Smb,Low,Senior,1,3,724.0,12.0,2.0,4.4.13,Feature Request,3,0,Qa,Low,2023-03-26 01:52:00,9.0
TCKT-100018,2024-11-02 02:57:00,Security,Smb,High,Mid,0,2,889.0,13.0,1.0,3.7.19,Bug,0,0,Support,High,2024-11-03 00:57:00,22.0
TCKT-100019,2025-06-30 06:41:00,Backend,Internal,Low,Mid,1,1,620.0,11.0,1.0,1.0.11,Question,2,0,Security,Low,2025-07-01 21:41:00,39.0
TCKT-100020,2025-02-21 09:17:00,Database,Smb,Medium,Junior,1,2,393.0,5.0,0.0,5.6.9,Bug,0,0,Support,Low,2025-02-21 22:17:00,13.0
TCKT-100021,2024-04-23 11:21:00,Ml,Enterprise,Medium,Senior,1,2,613.0,15.0,3.0,3.7.2,Question,2,0,Sre,Medium,2024-04-24 12:21:00,25.0
TCKT-100022,2023-08-11 14:37:00,Api,Enterprise,Medium,Mid,1,1,508.0,9.0,0.0,3.0.4,Question,4,0,Dev,Medium,2023-08-12 14:37:00,24.0
TCKT-100023,2024-07-14 12:15:00,Security,Enterprise,High,Mid,0,2,597.5284210526315,10.0,1.003157894736842,1.1.17,Bug,2,0,Dev,High,2024-07-15 03:15:00,15.0
TCKT-100024,2024-12-18 20:23:00,Devops,Internal,Medium,Junior,1,3,897.0,10.0,1.0,4.9.1,Bug,0,0,Dev,Low,2024-12-19 21:23:00,25.0
TCKT-100025,2024-06-05 10:53:00,Database,Enterprise,Medium,Mid,1,0,416.0,7.0,2.0,5.9.2,Bug,3,0,Support,Medium,2024-06-06 18:53:00,32.0
TCKT-100026,2023-06-21 06:53:00,Database,Enterprise,Medium,Junior,0,0,645.0,12.0,0.0,1.8.3,Bug,0,0,Qa,Medium,2023-06-22 16:53:00,34.0
TCKT-100028,2023-07-12 05:12:00,Security,Enterprise,Medium,Mid,0,1,553.0,16.0,2.0,4.3.11,Bug,2,0,Qa,Medium,2023-07-13 08:12:00,27.0
TCKT-100029,2023-04-24 13:15:00,Devops,Free-Tier,Low,Junior,1,3,597.5284210526315,10.0,1.003157894736842,3.3.4,Feature Request,2,0,Security,Low,2023-04-26 01:15:00,36.0
TCKT-100030,2023-02-23 02:42:00,Ml,Smb,Low,Junior,1,1,647.0,13.0,3.0,3.5.8,Bug,2,0,Qa,Medium,2023-02-24 04:42:00,26.0
TCKT-100031,2023-05-02 23:31:00,Ui,Internal,Low,Mid,1,2,566.0,15.0,0.0,3.1.9,Bug,2,1,Sre,Low,2023-05-04 19:31:00,44.0
TCKT-100032,2023-06-28 10:50:00,Devops,Enterprise,Low,Junior,1,2,502.0,14.0,2.0,5.6.14,Feature Request,2,0,Support,Low,2023-06-29 02:50:00,16.0
TCKT-100033,2024-06-16 11:47:00,Api,Enterprise,Medium,Mid,0,2,597.5284210526315,10.0,1.003157894736842,2.9.10,Feature Request,2,1,Sre,Low,2024-06-18 05:47:00,42.0
TCKT-100034,2024-12-08 16:31:00,Database,Internal,High,Junior,0,1,856.0,6.0,2.0,5.7.7,Bug,1,0,Dev,High,2024-12-09 10:31:00,18.0
TCKT-100035,2023-04-11 05:56:00,Ml,Internal,High,Mid,0,0,464.0,11.0,1.0,2.6.11,Bug,0,1,Sre,High,2023-04-12 01:56:00,20.0
TCKT-100036,2023-03-10 20:32:00,Devops,Internal,High,Mid,1,3,886.0,7.0,0.0,4.1.17,Bug,4,0,Sre,Medium,2023-03-11 02:32:00,6.0
TCKT-100037,2025-02-15 22:25:00,Ui,Enterprise,Medium,Mid,0,0,779.0,9.0,0.0,3.2.2,Crash,2,1,Sre,High,2025-02-16 06:25:00,8.0
TCKT-100038,2024-05-29 21:04:00,Ui,Internal,Medium,Junior,0,1,805.0,14.0,2.0,1.5.15,Feature Request,1,1,Security,Medium,2024-05-30 07:04:00,10.0
TCKT-100039,2023-12-24 09:51:00,Backend,Internal,Medium,Junior,1,4,646.0,10.0,0.0,4.4.16,Crash,3,0,Support,Critical,2023-12-24 14:51:00,5.0
TCKT-100040,2025-03-20 21:39:00,Backend,Smb,Low,Junior,1,1,775.0,5.0,3.0,5.5.11,Feature Request,4,1,Qa,Low,2025-03-21 17:39:00,20.0
TCKT-100041,2024-12-22 05:25:00,Auth,Internal,Low,Mid,0,5,448.0,6.0,0.0,4.3.8,Crash,3,0,Sre,High,2024-12-23 01:25:00,20.0
TCKT-100042,2025-03-21 18:21:00,Api,Internal,Medium,Senior,1,0,499.0,13.0,1.0,4.9.7,Bug,1,0,Dev,Low,2025-03-23 07:21:00,37.0
TCKT-100043,2024-09-12 13:29:00,Security,Smb,Urgent,Junior,0,2,714.0,14.0,1.0,3.8.12,Bug,6,0,Support,High,2024-09-13 03:29:00,14.0
TCKT-100044,2025-06-04 02:59:00,Devops,Enterprise,Low,Junior,1,0,644.0,7.0,0.0,5.2.17,Feature Request,1,0,Support,Low,2025-06-06 01:59:00,47.0
TCKT-100045,2025-03-18 06:21:00,Devops,Smb,Low,Junior,0,1,577.0,14.0,1.0,1.0.8,Bug,2,0,Sre,Low,2025-03-19 14:21:00,32.0
TCKT-100046,2024-05-08 11:56:00,Security,Enterprise,High,Mid,0,1,224.0,8.0,0.0,2.8.11,Bug,1,0,Support,High,2024-05-08 19:56:00,8.0
TCKT-100047,2023-09-24 00:10:00,Auth,Smb,Low,Mid,1,1,534.0,9.0,1.0,2.7.3,Bug,1,0,Support,Low,2023-09-25 15:10:00,39.0
TCKT-100048,2025-01-26 09:53:00,Database,Smb,High,Mid,0,2,423.0,8.0,2.0,5.6.9,Bug,1,0,Support,Medium,2025-01-27 07:53:00,22.0
TCKT-100049,2023-12-20 08:22:00,Database,Enterprise,High,Senior,1,0,674.0,19.0,1.0,4.9.14,Bug,2,0,Support,Medium,2023-12-20 15:22:00,7.0
TCKT-100050,2025-05-06 11:47:00,Auth,Enterprise,Urgent,Mid,1,0,571.0,11.0,0.0,2.7.15,Bug,3,0,Dev,High,2025-05-07 02:47:00,15.0
TCKT-100051,2023-05-02 12:57:00,Database,Enterprise,Medium,Junior,1,2,505.0,12.0,1.0,2.9.14,Performance,2,0,Dev,Medium,2023-05-03 02:57:00,14.0
TCKT-100052,2023-11-07 22:20:00,Backend,Internal,Medium,Junior,1,1,996.0,4.0,0.0,4.2.9,Performance,3,0,Dev,Medium,2023-11-09 01:20:00,27.0
TCKT-100053,2023-12-02 00:23:00,Devops,Free-Tier,Medium,Mid,0,4,755.0,6.0,2.0,4.4.1,Crash,0,1,Qa,High,2023-12-02 10:23:00,10.0
TCKT-100054,2023-03-01 08:07:00,Auth,Enterprise,Medium,Mid,0,1,758.0,11.0,1.0,2.8.18,Bug,1,0,Dev,Medium,2023-03-02 05:07:00,21.0
TCKT-100055,2024-04-25 17:08:00,Devops,Free-Tier,Medium,Mid,1,0,930.0,13.0,1.0,2.9.0,Bug,3,0,Qa,Medium,2024-04-26 18:08:00,25.0
TCKT-100056,2025-02-18 11:23:00,Security,Smb,Low,Mid,1,1,720.0,9.0,0.0,5.5.2,Bug,2,0,Sre,Low,2025-02-19 14:23:00,27.0
TCKT-100057,2024-05-14 09:21:00,Ui,Enterprise,Medium,Mid,1,1,484.0,8.0,0.0,5.1.9,Bug,4,0,Support,Medium,2024-05-15 16:21:00,31.0
TCKT-100058,2024-02-19 11:30:00,Backend,Enterprise,Medium,Senior,1,0,466.0,6.0,1.0,1.6.12,Bug,2,0,Dev,Medium,2024-02-20 06:30:00,19.0
TCKT-100059,2023-07-21 11:26:00,Ml,Smb,High,Mid,0,0,744.0,7.0,1.0,3.0.12,Bug,3,1,Sre,Medium,2023-07-22 15:26:00,28.0
TCKT-100060,2024-05-27 04:33:00,Backend,Internal,High,Mid,1,1,291.0,7.0,1.0,1.4.13,Bug,2,1,Support,High,2024-05-27 17:33:00,13.0
TCKT-100061,2023-07-17 21:38:00,Auth,Internal,Medium,Junior,1,1,588.0,10.0,1.0,4.5.15,Feature Request,2,0,Sre,Medium,2023-07-18 07:38:00,10.0
TCKT-100062,2023-10-26 17:17:00,Ml,Enterprise,Low,Mid,1,1,274.0,15.0,1.0,2.5.19,Bug,2,0,Security,Low,2023-10-27 18:17:00,25.0
TCKT-100063,2023-10-01 18:45:00,Ui,Enterprise,High,Senior,1,0,614.0,6.0,0.0,1.9.18,Bug,2,0,Support,High,2023-10-01 21:45:00,3.0
TCKT-100064,2024-06-09 14:31:00,Auth,Smb,Medium,Mid,0,1,728.0,9.0,3.0,2.7.17,Bug,6,0,Support,Medium,2024-06-10 13:31:00,23.0
TCKT-100065,2023-01-19 23:08:00,Api,Enterprise,High,Mid,1,2,597.5284210526315,10.0,1.003157894736842,2.6.4,Bug,0,1,Qa,High,2023-01-20 19:08:00,20.0
TCKT-100066,2024-03-21 20:07:00,Devops,Enterprise,Urgent,Mid,1,0,740.0,6.0,1.0,1.6.15,Bug,1,0,Support,Critical,2024-03-21 23:07:00,3.0
TCKT-100067,2024-01-13 02:12:00,Ui,Enterprise,Low,Junior,0,1,894.0,7.0,1.0,2.7.15,Bug,3,0,Sre,Low,2024-01-14 09:12:00,31.0
TCKT-100068,2023-07-31 20:36:00,Devops,Internal,High,Mid,0,2,578.0,14.0,1.0,1.3.15,Question,1,0,Security,Medium,2023-08-01 13:36:00,17.0
TCKT-100069,2024-03-14 17:55:00,Database,Free-Tier,Low,Junior,0,3,1021.0,9.0,0.0,4.4.4,Crash,2,1,Security,High,2024-03-15 10:55:00,17.0
TCKT-100070,2023-09-24 00:24:00,Api,Smb,Medium,Senior,0,2,631.0,5.0,2.0,4.0.8,Bug,1,0,Dev,Low,2023-09-25 17:24:00,41.0
TCKT-100071,2024-05-15 14:31:00,Api,Free-Tier,Medium,Senior,0,2,742.0,11.0,1.0,5.0.18,Question,1,1,Dev,Medium,2024-05-16 13:31:00,23.0
TCKT-100072,2024-05-12 18:03:00,Ui,Enterprise,Low,Junior,1,0,508.0,10.0,0.0,1.6.9,Bug,3,0,Sre,Low,2024-05-13 03:03:00,9.0
TCKT-100073,2023-02-27 06:25:00,Api,Smb,High,Junior,1,1,842.0,10.0,1.0,5.9.6,Feature Request,2,0,Dev,Medium,2023-02-27 09:25:00,3.0
TCKT-100074,2023-05-27 21:31:00,Ml,Enterprise,Low,Mid,1,1,756.0,12.0,1.0,1.6.4,Feature Request,1,0,Security,Low,2023-05-29 12:31:00,39.0
TCKT-100075,2023-10-25 07:16:00,Api,Smb,Low,Mid,0,0,820.0,7.0,1.0,5.9.19,Performance,3,0,Security,Low,2023-10-27 03:16:00,44.0
TCKT-100076,2024-07-20 17:33:00,Devops,Free-Tier,Medium,Junior,1,3,608.0,13.0,2.0,2.8.5,Question,3,1,Qa,Medium,2024-07-21 07:33:00,14.0
TCKT-100077,2025-04-01 09:30:00,Devops,Smb,High,Mid,1,1,411.0,11.0,1.0,4.4.6,Question,1,0,Support,High,2025-04-01 17:30:00,8.0
TCKT-100078,2024-10-31 00:29:00,Auth,Enterprise,Urgent,Mid,1,2,669.0,19.0,1.0,2.2.12,Bug,2,0,Support,High,2024-10-31 17:29:00,17.0
TCKT-100079,2023-12-13 20:50:00,Devops,Smb,High,Junior,0,0,597.5284210526315,10.0,1.003157894736842,1.2.10,Bug,4,0,Dev,Medium,2023-12-15 05:50:00,33.0
TCKT-100080,2024-11-09 11:36:00,Auth,Enterprise,Medium,Senior,1,0,549.0,13.0,0.0,2.9.11,Bug,0,0,Sre,Low,2024-11-10 19:36:00,32.0
TCKT-100081,2025-01-25 15:27:00,Devops,Internal,Medium,Senior,1,3,628.0,9.0,1.0,5.5.3,Bug,2,0,Support,Medium,2025-01-25 22:27:00,7.0
TCKT-100082,2023-11-19 00:50:00,Ml,Smb,Low,Mid,1,3,956.0,8.0,1.0,4.9.14,Bug,4,0,Support,Low,2023-11-20 12:50:00,36.0
TCKT-100083,2025-05-12 06:43:00,Security,Smb,Low,Senior,0,3,647.0,11.0,0.0,3.7.4,Bug,3,0,Security,Low,2025-05-12 21:43:00,15.0
TCKT-100084,2024-10-01 15:11:00,Auth,Smb,Medium,Junior,1,4,597.5284210526315,10.0,1.003157894736842,4.5.19,Feature Request,2,0,Dev,Low,2024-10-03 11:11:00,44.0
TCKT-100085,2023-04-30 08:32:00,Backend,Smb,Medium,Junior,1,1,590.0,16.0,1.0,2.9.4,Crash,0,0,Sre,Critical,2023-04-30 13:32:00,5.0
TCKT-100086,2023-04-07 15:23:00,Database,Enterprise,Medium,Junior,1,0,398.0,8.0,0.0,3.3.8,Crash,2,1,Qa,Critical,2023-04-07 19:23:00,4.0
TCKT-100087,2025-06-28 05:14:00,Ui,Smb,High,Mid,1,0,612.0,13.0,0.0,2.0.8,Bug,2,0,Sre,High,2025-06-28 11:14:00,6.0
TCKT-100088,2023-11-27 20:05:00,Devops,Enterprise,Medium,Senior,1,0,615.0,15.0,2.0,1.3.3,Bug,0,0,Dev,Low,2023-11-28 02:05:00,6.0
TCKT-100089,2023-11-23 20:59:00,Api,Internal,Low,Mid,1,3,454.0,9.0,1.0,1.0.0,Performance,1,0,Sre,Low,2023-11-24 17:59:00,21.0
TCKT-100090,2023-12-10 08:23:00,Security,Internal,Low,Senior,1,0,421.0,10.0,1.0,3.5.10,Question,2,0,Support,Medium,2023-12-11 03:23:00,19.0
TCKT-100091,2023-11-09 04:27:00,Devops,Internal,High,Mid,0,0,527.0,8.0,0.0,3.4.9,Bug,3,0,Sre,High,2023-11-09 11:27:00,7.0
TCKT-100092,2025-06-14 04:54:00,Api,Smb,High,Mid,1,0,609.0,7.0,1.0,4.9.17,Performance,2,1,Dev,Medium,2025-06-14 06:54:00,2.0
TCKT-100093,2024-02-15 01:21:00,Database,Smb,High,Mid,1,0,531.0,4.0,1.0,4.0.2,Bug,3,0,Sre,High,2024-02-15 13:21:00,12.0
TCKT-100094,2025-02-13 00:12:00,Database,Enterprise,Low,Junior,0,1,442.0,9.0,1.0,5.4.15,Performance,1,1,Dev,Low,2025-02-14 05:12:00,29.0
TCKT-100095,2025-02-11 08:35:00,Database,Internal,Urgent,Junior,0,2,643.0,14.0,0.0,2.4.6,Bug,2,0,Support,Critical,2025-02-11 12:35:00,4.0
TCKT-100096,2025-06-18 08:17:00,Api,Enterprise,Low,Mid,1,2,680.0,11.0,3.0,5.9.14,Performance,4,1,Security,Low,2025-06-19 11:17:00,27.0
TCKT-100097,2023-03-22 23:22:00,Devops,Smb,Low,Mid,1,0,618.0,11.0,0.0,5.6.17,Question,1,0,Sre,Low,2023-03-23 19:22:00,20.0
TCKT-100098,2025-01-30 15:14:00,Database,Enterprise,Urgent,Mid,0,0,515.0,13.0,2.0,3.2.16,Bug,2,0,Support,High,2025-01-30 20:14:00,5.0
TCKT-100099,2023-09-17 07:16:00,Ml,Enterprise,Low,Mid,0,0,689.0,9.0,2.0,1.9.8,Bug,1,0,Security,Low,2023-09-17 14:16:00,7.0
TCKT-100100,2023-05-30 13:27:00,Auth,Smb,Medium,Junior,1,1,597.5284210526315,10.0,1.003157894736842,4.8.15,Question,1,0,Support,Medium,2023-05-31 00:27:00,11.0
TCKT-100101,2023-05-16 09:57:00,Api,Enterprise,Low,Mid,1,1,421.0,7.0,0.0,5.8.1,Bug,5,0,Security,Low,2023-05-17 03:57:00,18.0
TCKT-100102,2025-04-01 10:21:00,Api,Internal,Medium,Mid,1,1,755.0,12.0,0.0,4.6.6,Bug,1,0,Security,Medium,2025-04-02 14:21:00,28.0
TCKT-100103,2023-11-27 17:06:00,Devops,Enterprise,Urgent,Mid,1,1,653.0,9.0,0.0,4.2.2,Bug,3,0,Qa,Critical,2023-11-27 21:06:00,4.0
TCKT-100104,2025-05-16 16:49:00,Api,Enterprise,Medium,Senior,1,0,582.0,17.0,2.0,2.9.5,Feature Request,1,0,Security,Low,2025-05-17 22:49:00,30.0
TCKT-100105,2025-04-30 13:29:00,Api,Smb,Medium,Mid,1,2,364.0,6.0,2.0,2.7.19,Bug,1,1,Security,Medium,2025-05-01 02:29:00,13.0
TCKT-100106,2024-03-04 22:01:00,Database,Enterprise,Low,Mid,1,2,597.5284210526315,10.0,1.003157894736842,2.8.14,Feature Request,1,0,Support,Low,2024-03-05 15:01:00,17.0
TCKT-100107,2023-06-21 14:25:00,Devops,Enterprise,Medium,Senior,1,2,902.0,15.0,0.0,1.1.9,Bug,2,0,Dev,Low,2023-06-22 17:25:00,27.0
TCKT-100108,2024-09-22 13:22:00,Database,Internal,Medium,Senior,1,1,373.0,7.0,2.0,4.0.10,Bug,1,0,Security,Medium,2024-09-22 16:22:00,3.0
TCKT-100109,2023-05-12 12:37:00,Auth,Enterprise,Low,Senior,1,6,562.0,18.0,0.0,3.0.8,Bug,1,0,Security,Low,2023-05-13 03:37:00,15.0
TCKT-100110,2023-01-31 11:59:00,Security,Internal,Medium,Junior,1,1,597.0,6.0,1.0,3.1.10,Bug,3,0,Dev,Medium,2023-02-01 09:59:00,22.0
TCKT-100111,2023-12-01 21:52:00,Auth,Enterprise,Low,Junior,1,6,648.0,18.0,1.0,3.2.3,Bug,0,0,Security,Low,2023-12-02 02:52:00,5.0
TCKT-100112,2024-12-29 12:01:00,Security,Enterprise,Urgent,Junior,0,0,375.0,7.0,3.0,3.6.8,Feature Request,1,0,Sre,Critical,2024-12-29 19:01:00,7.0
TCKT-100113,2023-07-05 05:49:00,Database,Internal,Medium,Junior,1,0,626.0,7.0,2.0,2.4.1,Performance,3,1,Sre,Medium,2023-07-05 19:49:00,14.0
TCKT-100114,2023-01-30 00:23:00,Auth,Enterprise,Low,Senior,0,1,347.0,16.0,1.0,4.3.12,Bug,3,0,Support,Medium,2023-01-30 21:23:00,21.0
TCKT-100115,2024-12-27 23:54:00,Devops,Enterprise,Medium,Mid,1,1,614.0,14.0,0.0,2.0.17,Question,0,0,Qa,Medium,2024-12-28 11:54:00,12.0
TCKT-100116,2024-12-27 16:12:00,Ui,Enterprise,Medium,Junior,1,2,502.0,8.0,0.0,3.6.1,Bug,3,0,Sre,Medium,2024-12-27 23:12:00,7.0
TCKT-100117,2024-06-18 04:28:00,Database,Enterprise,High,Junior,1,2,470.0,9.0,0.0,4.4.18,Feature Request,4,0,Sre,Medium,2024-06-19 02:28:00,22.0
TCKT-100118,2024-06-07 06:58:00,Security,Internal,Urgent,Junior,0,2,725.0,10.0,1.0,4.9.12,Bug,0,1,Security,Critical,2024-06-07 16:58:00,10.0
TCKT-100119,2023-03-30 06:34:00,Ml,Enterprise,Medium,Mid,1,42,564.0,1738.0,0.0,3.7.9,Bug,0,0,Security,Medium,2023-03-31 12:34:00,30.0
TCKT-100120,2024-01-03 10:43:00,Security,Internal,High,Mid,1,0,671.0,7.0,1.0,3.8.8,Performance,3,1,Sre,Medium,2024-01-03 23:43:00,13.0
TCKT-100121,2024-12-04 04:05:00,Ml,Internal,Medium,Senior,1,0,676.0,5.0,0.0,5.0.11,Bug,3,0,Sre,Medium,2024-12-05 07:05:00,27.0
TCKT-100122,2024-05-04 20:43:00,Api,Smb,Low,Senior,0,0,790.0,6.0,2.0,2.2.7,Performance,1,0,Security,Low,2024-05-05 16:43:00,20.0
TCKT-100123,2024-04-11 02:43:00,Auth,Free-Tier,Medium,Junior,0,0,418.0,7.0,0.0,1.9.15,Bug,3,0,Dev,Medium,2024-04-12 07:43:00,29.0
TCKT-100124,2023-01-06 23:56:00,Ml,Enterprise,Medium,Mid,1,5,737.0,8.0,0.0,5.8.0,Performance,2,0,Sre,Low,2023-01-07 07:56:00,8.0
TCKT-100125,2024-08-25 20:54:00,Security,Free-Tier,Medium,Junior,1,1,602.0,7.0,0.0,5.2.0,Crash,3,0,Qa,High,2024-08-26 12:54:00,16.0
TCKT-100126,2023-11-11 08:05:00,Api,Enterprise,High,Mid,1,3,543.0,9.0,2.0,3.6.9,Bug,4,1,Dev,Medium,2023-11-11 14:05:00,6.0
TCKT-100127,2025-04-10 12:13:00,Ui,Smb,Medium,Senior,1,1,427.0,6.0,1.0,5.1.4,Feature Request,2,0,Qa,Medium,2025-04-10 17:13:00,5.0
TCKT-100128,2024-11-07 03:20:00,Devops,Smb,Urgent,Mid,1,0,690.0,9.0,0.0,2.3.2,Bug,3,0,Qa,High,2024-11-07 17:20:00,14.0
TCKT-100129,2023-12-08 10:29:00,Devops,Enterprise,High,Mid,0,2,461.0,13.0,0.0,2.7.8,Bug,1,0,Support,High,2023-12-09 05:29:00,19.0
TCKT-100130,2024-04-14 10:34:00,Devops,Smb,Medium,Mid,0,2,677.0,17.0,2.0,5.1.18,Feature Request,1,0,Security,Low,2024-04-16 07:34:00,45.0
TCKT-100131,2024-02-06 02:18:00,Ml,Internal,Medium,Junior,1,0,889.0,10.0,0.0,5.3.7,Bug,3,1,Qa,Medium,2024-02-06 18:18:00,16.0
TCKT-100132,2024-12-18 15:45:00,Ui,Enterprise,Medium,Junior,1,1,746.0,13.0,0.0,3.0.14,Bug,4,0,Sre,Medium,2024-12-19 23:45:00,32.0
TCKT-100133,2025-02-26 23:09:00,Ml,Enterprise,Urgent,Mid,1,1,808.0,18.0,1.0,2.7.5,Feature Request,1,0,Sre,Critical,2025-02-27 06:09:00,7.0
TCKT-100134,2023-02-02 15:06:00,Auth,Internal,Medium,Mid,1,0,492.0,10.0,2.0,1.9.16,Bug,3,0,Dev,Medium,2023-02-03 21:06:00,30.0
TCKT-100135,2024-10-29 05:41:00,Ml,Smb,Low,Junior,1,1,714.0,10.0,1.0,4.1.15,Feature Request,4,0,Sre,Low,2024-10-30 02:41:00,21.0
TCKT-100136,2023-10-23 03:56:00,Ui,Free-Tier,Medium,Mid,1,2,428.0,10.0,0.0,3.2.15,Performance,1,0,Sre,Medium,2023-10-24 13:56:00,34.0
TCKT-100137,2023-07-08 05:05:00,Ui,Internal,Medium,Senior,1,2,564.0,5.0,1.0,1.9.8,Performance,1,0,Support,Medium,2023-07-09 08:05:00,27.0
TCKT-100138,2025-04-08 15:36:00,Auth,Free-Tier,Low,Mid,1,3,861.0,9.0,1.0,1.9.0,Bug,0,1,Qa,Medium,2025-04-09 09:36:00,18.0
TCKT-100139,2023-12-25 17:58:00,Ui,Internal,Low,Mid,0,3,508.0,10.0,1.0,3.6.17,Bug,1,0,Security,Low,2023-12-27 05:58:00,36.0
TCKT-100140,2025-04-15 02:23:00,Security,Enterprise,Medium,Mid,1,2,766.0,11.0,2.0,1.9.0,Bug,3,0,Dev,Medium,2025-04-15 18:23:00,16.0
TCKT-100141,2025-01-07 10:43:00,Ui,Enterprise,Medium,Mid,1,1,752.0,9.0,3.0,3.3.4,Bug,0,0,Support,Medium,2025-01-07 20:43:00,10.0
TCKT-100142,2023-04-10 12:53:00,Devops,Internal,Medium,Mid,1,0,761.0,15.0,0.0,5.7.17,Bug,1,1,Qa,Medium,2023-04-10 16:53:00,4.0
TCKT-100143,2023-02-17 13:36:00,Security,Smb,Low,Senior,1,1,409.0,10.0,1.0,5.8.10,Bug,0,0,Qa,Low,2023-02-18 01:36:00,12.0
TCKT-100144,2024-12-13 22:57:00,Security,Enterprise,Low,Mid,0,0,597.5284210526315,10.0,1.003157894736842,3.7.17,Bug,2,0,Sre,Low,2024-12-15 16:57:00,42.0
TCKT-100145,2024-03-28 04:06:00,Auth,Enterprise,Medium,Mid,0,1,576.0,8.0,1.0,1.4.8,Feature Request,1,0,Sre,Medium,2024-03-28 15:06:00,11.0
TCKT-100146,2024-04-26 13:04:00,Backend,Free-Tier,Medium,Junior,1,5,763.0,11.0,1.0,5.6.14,Performance,4,1,Dev,Medium,2024-04-27 08:04:00,19.0
TCKT-100147,2025-06-25 00:52:00,Backend,Smb,Low,Junior,0,1,351.0,8.0,0.0,1.4.4,Crash,1,0,Security,Critical,2025-06-25 02:52:00,2.0
TCKT-100148,2024-02-16 10:46:00,Ui,Smb,Medium,Mid,1,1,655.0,13.0,1.0,3.5.9,Crash,0,0,Sre,Critical,2024-02-16 20:46:00,10.0
TCKT-100149,2025-04-13 16:38:00,Security,Smb,Medium,Senior,0,1,633.0,7.0,2.0,4.1.2,Bug,1,0,Security,Low,2025-04-14 08:38:00,16.0
TCKT-100150,2025-04-04 17:37:00,Backend,Enterprise,Low,Mid,1,0,301.0,9.0,1.0,2.3.4,Bug,3,1,Sre,Low,2025-04-06 14:37:00,45.0
