product_area,customer_type,priority,reporter_experience,reproduction_steps,num_attachments,description_length,affected_users_count,prev_similar_tickets,module_version,ticket_type,auto_tag_count,sla_breached,assigned_team,severity,resolution_time,affected_users_count_log,is_widespread,is_critical_impact,affects_users,impact_level,num_attachments_log,has_attachments,many_attachments,attachment_category,is_multi_category,tag_complexity,affected_users_count_is_outlier,affected_users_count_is_extreme,num_attachments_is_outlier,num_attachments_is_extreme,auto_tag_count_is_outlier,auto_tag_count_is_extreme,description_length_is_outlier,description_length_is_extreme,prev_similar_tickets_is_outlier,prev_similar_tickets_is_extreme,severity_score,is_critical_incident,documentation_score,impact_per_doc
Backend,Enterprise,High,Mid,1,2,541.0,14.0,3.0,5.1.13,Bug,2,1,Sre,High,23.0,2.70805020110221,0,0,1,small_team,1.0986122886681098,1,0,few,0,standard,0,0,0,0,0,0,0,0,0,0,2.9849425381745065,0,1.0,1.2904004306678685
Auth,Internal,Urgent,Senior,1,3,592.0,11.0,1.0,3.2.12,Performance,0,0,Support,Critical,3.0,2.4849066497880004,0,0,1,small_team,1.3862943611198906,1,0,moderate,0,minimal,0,0,0,0,0,0,0,0,0,0,2.655221532139178,0,1.0,1.0413244444083716
Backend,Smb,Low,Junior,1,0,697.0,11.0,0.0,5.8.0,Feature Request,2,0,Dev,Low,47.0,2.4849066497880004,0,0,1,small_team,0.0,0,0,none,0,standard,0,0,0,0,0,0,0,0,0,0,2.3879626599152,0,0.6000000000000001,2.4849066497880004
Backend,Smb,Low,Mid,1,3,786.0,9.0,2.0,3.9.7,Bug,1,0,Qa,Medium,6.0,2.302585092994046,0,0,1,small_team,1.3862943611198906,1,0,moderate,0,minimal,0,0,0,0,0,0,0,0,0,0,3.1702929094215966,0,1.0,0.9649208121639444
Security,Smb,Medium,Mid,1,1,560.0,7.0,1.0,5.2.2,Bug,4,0,Security,Medium,3.0,2.0794415416798357,0,0,1,small_team,0.6931471805599453,1,0,few,1,complex,0,0,0,0,0,0,0,0,0,0,2.2904060527839234,0,1.0,1.2281516725510762
Ml,Free-Tier,High,Mid,0,2,883.0,10.0,2.0,2.2.17,Feature Request,3,0,Sre,Medium,35.0,2.3978952727983707,0,0,1,small_team,1.0986122886681098,1,0,few,0,standard,0,0,0,0,0,0,0,0,0,0,3.34488056685297,0,0.8,1.1426099455084204
Devops,Enterprise,Low,Mid,0,1,572.0,12.0,0.0,3.1.7,Bug,5,0,Support,Low,45.0,2.5649493574615367,0,0,1,small_team,0.6931471805599453,1,0,few,1,complex,0,0,0,0,0,0,0,0,0,0,2.308609179096604,0,0.8,1.514900409669805
Security,Smb,Low,Senior,1,3,724.0,12.0,2.0,4.4.13,Feature Request,3,0,Qa,Low,9.0,2.5649493574615367,0,0,1,small_team,1.3862943611198906,1,0,moderate,0,standard,0,0,0,0,0,0,0,0,0,0,3.151238615208593,0,1.0,1.0748671242125396
Security,Smb,High,Mid,0,2,889.0,13.0,1.0,3.7.19,Bug,0,0,Support,High,22.0,2.6390573296152584,0,0,1,small_team,1.0986122886681098,1,0,few,0,minimal,0,0,0,0,0,0,0,0,0,0,3.253345389579726,0,0.8,1.2575249577377359
Backend,Internal,Low,Mid,1,1,620.0,11.0,1.0,1.0.11,Question,2,0,Security,Low,39.0,2.4849066497880004,0,0,1,small_team,0.6931471805599453,1,0,few,0,standard,0,0,0,0,0,0,0,0,0,0,2.5725920960271895,0,1.0,1.4676258970978588
Database,Smb,Medium,Junior,1,2,393.0,5.0,0.0,5.6.9,Bug,0,0,Support,Low,13.0,1.791759469228055,0,0,1,individual,1.0986122886681098,1,0,few,0,minimal,0,0,0,0,0,0,0,0,0,0,1.722426245424844,0,0.6000000000000001,0.8537829874069783
Ml,Enterprise,Medium,Senior,1,2,613.0,15.0,3.0,3.7.2,Question,2,0,Sre,Medium,25.0,2.772588722239781,0,0,1,small_team,1.0986122886681098,1,0,few,0,standard,0,0,0,0,0,0,0,0,0,0,3.1547579466295343,0,1.0,1.3211533817899312
Api,Enterprise,Medium,Mid,1,1,508.0,9.0,0.0,3.0.4,Question,4,0,Dev,Medium,24.0,2.302585092994046,0,0,1,small_team,0.6931471805599453,1,0,few,1,complex,0,0,0,0,0,0,0,0,0,0,2.0756634733096075,0,1.0,1.359943848610108
Security,Enterprise,High,Mid,0,2,597.5284210526315,10.0,1.003157894736842,1.1.17,Bug,2,0,Dev,High,15.0,2.3978952727983707,0,0,1,small_team,1.0986122886681098,1,0,few,0,standard,0,0,0,0,0,0,0,0,0,0,2.5745689879056015,0,0.8,1.1426099455084204
Devops,Internal,Medium,Junior,1,3,897.0,10.0,1.0,4.9.1,Bug,0,0,Dev,Low,25.0,2.3978952727983707,0,0,1,small_team,1.3862943611198906,1,0,moderate,0,minimal,0,0,0,0,0,0,0,0,0,0,3.2304169813433266,0,1.0,1.0048614755444654
Database,Enterprise,Medium,Mid,1,0,416.0,7.0,2.0,5.9.2,Bug,3,0,Support,Medium,32.0,2.0794415416798357,0,0,1,small_team,0.0,0,0,none,0,standard,0,0,0,0,0,0,0,0,0,0,2.0637766166719342,0,0.6000000000000001,2.0794415416798357
Database,Enterprise,Medium,Junior,0,0,645.0,12.0,0.0,1.8.3,Bug,0,0,Qa,Medium,34.0,2.5649493574615367,0,0,1,small_team,0.0,0,0,none,0,minimal,0,0,0,0,0,0,0,0,0,0,2.3159797429846147,0,0.4,2.5649493574615367
Security,Enterprise,Medium,Mid,0,1,553.0,16.0,2.0,4.3.11,Bug,2,0,Qa,Medium,27.0,2.833213344056216,0,0,1,small_team,0.6931471805599453,1,0,few,0,standard,0,0,0,0,0,0,0,0,0,0,2.7779147737344756,0,0.8,1.6733414416573262
Devops,Free-Tier,Low,Junior,1,3,597.5284210526315,10.0,1.003157894736842,3.3.4,Feature Request,2,0,Security,Low,36.0,2.3978952727983707,0,0,1,small_team,1.3862943611198906,1,0,moderate,0,standard,0,0,0,0,0,0,0,0,0,0,2.6321054023959576,0,1.0,1.0048614755444654
Ml,Smb,Low,Junior,1,1,647.0,13.0,3.0,3.5.8,Bug,2,0,Qa,Medium,26.0,2.6390573296152584,0,0,1,small_team,0.6931471805599453,1,0,few,0,standard,0,0,0,0,0,0,0,0,0,0,3.0882523679580927,0,1.0,1.558669771840206
Ui,Internal,Low,Mid,1,2,566.0,15.0,0.0,3.1.9,Bug,2,1,Sre,Low,44.0,2.772588722239781,0,0,1,small_team,1.0986122886681098,1,0,few,0,standard,0,0,0,0,0,0,0,0,0,0,2.4607579466295344,0,1.0,1.3211533817899312
Devops,Enterprise,Low,Junior,1,2,502.0,14.0,2.0,5.6.14,Feature Request,2,0,Support,Low,16.0,2.70805020110221,0,0,1,small_team,1.0986122886681098,1,0,few,0,standard,0,0,0,0,0,0,0,0,0,0,2.706942538174506,0,1.0,1.2904004306678685
Api,Enterprise,Medium,Mid,0,2,597.5284210526315,10.0,1.003157894736842,2.9.10,Feature Request,2,1,Sre,Low,42.0,2.3978952727983707,0,0,1,small_team,1.0986122886681098,1,0,few,0,standard,0,0,0,0,0,0,0,0,0,0,2.5745689879056015,0,0.8,1.1426099455084204
Database,Internal,High,Junior,0,1,856.0,6.0,2.0,5.7.7,Bug,1,0,Dev,High,18.0,1.9459101490553132,0,0,1,small_team,0.6931471805599453,1,0,few,0,minimal,0,0,0,0,0,0,0,0,0,0,3.0289934957341145,0,0.8,1.1492858809898474
Ml,Internal,High,Mid,0,0,464.0,11.0,1.0,2.6.11,Bug,0,1,Sre,High,20.0,2.4849066497880004,0,0,1,small_team,0.0,0,0,none,0,minimal,0,0,0,0,0,0,0,0,0,0,2.1219626599152,0,0.4,2.4849066497880004
Devops,Internal,High,Mid,1,3,886.0,7.0,0.0,4.1.17,Bug,4,0,Sre,Medium,6.0,2.0794415416798357,0,0,1,small_team,1.3862943611198906,1,0,moderate,1,complex,0,0,0,0,0,0,0,0,0,0,2.8810354888959124,0,1.0,0.8714103237053921
Ui,Enterprise,Medium,Mid,0,0,779.0,9.0,0.0,3.2.2,Crash,2,1,Sre,High,8.0,2.302585092994046,0,0,1,small_team,0.0,0,0,none,0,standard,0,0,0,0,0,0,0,0,0,0,2.4790340371976187,0,0.4,2.302585092994046
Ui,Internal,Medium,Junior,0,1,805.0,14.0,2.0,1.5.15,Feature Request,1,1,Security,Medium,10.0,2.70805020110221,0,0,1,small_team,0.6931471805599453,1,0,few,0,minimal,0,0,0,0,0,0,0,0,0,0,3.2318495165528733,0,0.8,1.5994180731568908
Backend,Internal,Medium,Junior,1,4,646.0,10.0,0.0,4.4.16,Crash,3,0,Support,Critical,5.0,2.3978952727983707,0,0,1,small_team,1.6094379124341003,1,0,moderate,0,standard,0,0,0,0,0,0,0,0,0,0,2.5730456916061684,0,1.0,0.9189317214148999
Backend,Smb,Low,Junior,1,1,775.0,5.0,3.0,5.5.11,Feature Request,4,1,Qa,Low,20.0,1.791759469228055,0,0,1,individual,0.6931471805599453,1,0,few,1,complex,0,0,0,0,0,0,0,0,0,0,3.0053332238032113,0,1.0,1.0582420062475002
Auth,Internal,Low,Mid,0,5,448.0,6.0,0.0,4.3.8,Crash,3,0,Sre,High,20.0,1.9459101490553132,0,0,1,small_team,1.791759469228055,1,0,moderate,0,standard,0,0,0,0,0,0,0,0,0,0,2.0327159534677364,0,0.8,0.6970192706441769
Api,Internal,Medium,Senior,1,0,499.0,13.0,1.0,4.9.7,Bug,1,0,Dev,Low,37.0,2.6390573296152584,0,0,1,small_team,0.0,0,0,none,0,minimal,0,0,0,0,0,0,0,0,0,0,2.253622931846104,0,0.6000000000000001,2.6390573296152584
Security,Smb,Urgent,Junior,0,2,714.0,14.0,1.0,3.8.12,Bug,6,0,Support,High,14.0,2.70805020110221,0,0,1,small_team,1.0986122886681098,1,0,few,1,very_complex,0,0,0,0,0,0,0,0,0,0,2.9309425381745062,0,0.8,1.2904004306678685
Devops,Enterprise,Low,Junior,1,0,644.0,7.0,0.0,5.2.17,Feature Request,1,0,Support,Low,47.0,2.0794415416798357,0,0,1,small_team,0.0,0,0,none,0,minimal,0,0,0,0,0,0,0,0,0,0,2.1197766166719347,0,0.6000000000000001,2.0794415416798357
Devops,Smb,Low,Junior,0,1,577.0,14.0,1.0,1.0.8,Bug,2,0,Sre,Low,32.0,2.70805020110221,0,0,1,small_team,0.6931471805599453,1,0,few,0,standard,0,0,0,0,0,0,0,0,0,0,2.575849516552873,0,0.8,1.5994180731568908
Security,Enterprise,High,Mid,0,1,224.0,8.0,0.0,2.8.11,Bug,1,0,Support,High,8.0,2.1972245773362196,0,0,1,small_team,0.6931471805599453,1,0,few,0,minimal,0,0,0,0,0,0,0,0,0,0,1.465519267046477,0,0.4,1.2977162307942829
Auth,Smb,Low,Mid,1,1,534.0,9.0,1.0,2.7.3,Bug,1,0,Support,Low,39.0,2.302585092994046,0,0,1,small_team,0.6931471805599453,1,0,few,0,minimal,0,0,0,0,0,0,0,0,0,0,2.3276634733096078,0,1.0,1.359943848610108
Database,Smb,High,Mid,0,2,423.0,8.0,2.0,5.6.9,Bug,1,0,Support,Medium,22.0,2.1972245773362196,0,0,1,small_team,1.0986122886681098,1,0,few,0,minimal,0,0,0,0,0,0,0,0,0,0,2.34461228866811,0,0.8,1.0469892839189912
Database,Enterprise,High,Senior,1,0,674.0,19.0,1.0,4.9.14,Bug,2,0,Support,Medium,7.0,2.995732273553991,0,0,1,small_team,0.0,0,0,none,0,standard,1,0,0,0,0,0,0,0,0,0,2.7462929094215967,0,0.6000000000000001,2.995732273553991
Auth,Enterprise,Urgent,Mid,1,0,571.0,11.0,0.0,2.7.15,Bug,3,0,Dev,High,15.0,2.4849066497880004,0,0,1,small_team,0.0,0,0,none,0,standard,0,0,0,0,0,0,0,0,0,0,2.1359626599152004,0,0.6000000000000001,2.4849066497880004
Database,Enterprise,Medium,Junior,1,2,505.0,12.0,1.0,2.9.14,Performance,2,0,Dev,Medium,14.0,2.5649493574615367,0,0,1,small_team,1.0986122886681098,1,0,few,0,standard,0,0,0,0,0,0,0,0,0,0,2.455702200718237,0,1.0,1.2222121119329712
Backend,Internal,Medium,Junior,1,1,996.0,4.0,0.0,4.2.9,Performance,3,0,Dev,Medium,27.0,1.6094379124341003,0,0,1,individual,0.6931471805599453,1,0,few,0,standard,0,0,0,0,0,0,1,0,0,0,2.7744046010856294,0,1.0,0.9505599577597493
Devops,Free-Tier,Medium,Mid,0,4,755.0,6.0,2.0,4.4.1,Crash,0,1,Qa,High,10.0,1.9459101490553132,0,0,1,small_team,1.6094379124341003,1,0,moderate,0,minimal,0,0,0,0,0,0,0,0,0,0,3.0102516421089454,0,0.8,0.7457200417695149
Auth,Enterprise,Medium,Mid,0,1,758.0,11.0,1.0,2.8.18,Bug,1,0,Dev,Medium,21.0,2.4849066497880004,0,0,1,small_team,0.6931471805599453,1,0,few,0,minimal,0,0,0,0,0,0,0,0,0,0,2.8485920960271893,0,0.8,1.4676258970978588
Devops,Free-Tier,Medium,Mid,1,0,930.0,13.0,1.0,2.9.0,Bug,3,0,Qa,Medium,25.0,2.6390573296152584,0,0,1,small_team,0.0,0,0,none,0,standard,0,0,0,0,0,0,0,0,0,0,3.115622931846104,0,0.6000000000000001,2.6390573296152584
Security,Smb,Low,Mid,1,1,720.0,9.0,0.0,5.5.2,Bug,2,0,Sre,Low,27.0,2.302585092994046,0,0,1,small_team,0.6931471805599453,1,0,few,0,standard,0,0,0,0,0,0,0,0,0,0,2.4996634733096075,0,1.0,1.359943848610108
Ui,Enterprise,Medium,Mid,1,1,484.0,8.0,0.0,5.1.9,Bug,4,0,Support,Medium,31.0,2.1972245773362196,0,0,1,small_team,0.6931471805599453,1,0,few,1,complex,0,0,0,0,0,0,0,0,0,0,1.985519267046477,0,1.0,1.2977162307942829
Backend,Enterprise,Medium,Senior,1,0,466.0,6.0,1.0,1.6.12,Bug,2,0,Dev,Medium,19.0,1.9459101490553132,0,0,1,small_team,0.0,0,0,none,0,standard,0,0,0,0,0,0,0,0,0,0,1.9103640596221252,0,0.6000000000000001,1.9459101490553132
Ml,Smb,High,Mid,0,0,744.0,7.0,1.0,3.0.12,Bug,3,1,Sre,Medium,28.0,2.0794415416798357,0,0,1,small_team,0.0,0,0,none,0,standard,0,0,0,0,0,0,0,0,0,0,2.5197766166719346,0,0.4,2.0794415416798357
Backend,Internal,High,Mid,1,1,291.0,7.0,1.0,1.4.13,Bug,2,1,Support,High,13.0,2.0794415416798357,0,0,1,small_team,0.6931471805599453,1,0,few,0,standard,0,0,0,0,0,0,0,0,0,0,1.7524060527839234,0,0.6000000000000001,1.2281516725510762
Auth,Internal,Medium,Junior,1,1,588.0,10.0,1.0,4.5.15,Feature Request,2,0,Sre,Medium,10.0,2.3978952727983707,0,0,1,small_team,0.6931471805599453,1,0,few,0,standard,0,0,0,0,0,0,0,0,0,0,2.473787545231337,0,1.0,1.4162355761684913
Ml,Enterprise,Low,Mid,1,1,274.0,15.0,1.0,2.5.19,Bug,2,0,Security,Low,25.0,2.772588722239781,0,0,1,small_team,0.6931471805599453,1,0,few,0,standard,0,0,0,0,0,0,0,0,0,0,1.9956649250079015,0,0.6000000000000001,1.6375355634014348
Ui,Enterprise,High,Senior,1,0,614.0,6.0,0.0,1.9.18,Bug,2,0,Support,High,3.0,1.9459101490553132,0,0,1,small_team,0.0,0,0,none,0,standard,0,0,0,0,0,0,0,0,0,0,2.0063640596221255,0,0.6000000000000001,1.9459101490553132
Auth,Smb,Medium,Mid,0,1,728.0,9.0,3.0,2.7.17,Bug,6,0,Support,Medium,23.0,2.302585092994046,0,0,1,small_team,0.6931471805599453,1,0,few,1,very_complex,0,0,0,0,0,0,0,0,0,0,3.1156634733096076,0,0.8,1.359943848610108
Api,Enterprise,High,Mid,1,2,597.5284210526315,10.0,1.003157894736842,2.6.4,Bug,0,1,Qa,High,20.0,2.3978952727983707,0,0,1,small_team,1.0986122886681098,1,0,few,0,minimal,0,0,0,0,0,0,0,0,0,0,2.5745689879056015,0,1.0,1.1426099455084204
Devops,Enterprise,Urgent,Mid,1,0,740.0,6.0,1.0,1.6.15,Bug,1,0,Support,Critical,3.0,1.9459101490553132,0,0,1,small_team,0.0,0,0,none,0,minimal,0,0,0,0,0,0,0,0,0,0,2.4583640596221255,0,0.6000000000000001,1.9459101490553132
Ui,Enterprise,Low,Junior,0,1,894.0,7.0,1.0,2.7.15,Bug,3,0,Sre,Low,31.0,2.0794415416798357,0,0,1,small_team,0.6931471805599453,1,0,few,0,standard,0,0,0,0,0,0,0,0,0,0,2.9584060527839235,0,0.8,1.2281516725510762
Devops,Internal,High,Mid,0,2,578.0,14.0,1.0,1.3.15,Question,1,0,Security,Medium,17.0,2.70805020110221,0,0,1,small_team,1.0986122886681098,1,0,few,0,minimal,0,0,0,0,0,0,0,0,0,0,2.6589425381745064,0,0.8,1.2904004306678685
Database,Free-Tier,Low,Junior,0,3,1021.0,9.0,0.0,4.4.4,Crash,2,1,Security,High,17.0,2.302585092994046,0,0,1,small_team,1.3862943611198906,1,0,moderate,0,standard,0,0,0,0,0,0,1,0,0,0,3.240292909421597,0,0.8,0.9649208121639444
Api,Smb,Medium,Senior,0,2,631.0,5.0,2.0,4.0.8,Bug,1,0,Dev,Low,41.0,1.791759469228055,0,0,1,individual,1.0986122886681098,1,0,few,0,minimal,0,0,0,0,0,0,0,0,0,0,2.598426245424844,0,0.8,0.8537829874069783
Api,Free-Tier,Medium,Senior,0,2,742.0,11.0,1.0,5.0.18,Question,1,1,Dev,Medium,23.0,2.4849066497880004,0,0,1,small_team,1.0986122886681098,1,0,few,0,minimal,0,0,0,0,0,0,0,0,0,0,2.8976851176488223,0,0.8,1.1840713328544612
Ui,Enterprise,Low,Junior,1,0,508.0,10.0,0.0,1.6.9,Bug,3,0,Sre,Low,9.0,2.3978952727983707,0,0,1,small_team,0.0,0,0,none,0,standard,0,0,0,0,0,0,0,0,0,0,1.9751581091193482,0,0.6000000000000001,2.3978952727983707
Api,Smb,High,Junior,1,1,842.0,10.0,1.0,5.9.6,Feature Request,2,0,Dev,Medium,3.0,2.3978952727983707,0,0,1,small_team,0.6931471805599453,1,0,few,0,standard,0,0,0,0,0,0,0,0,0,0,2.9817875452313376,0,1.0,1.4162355761684913
Ml,Enterprise,Low,Mid,1,1,756.0,12.0,1.0,1.6.4,Feature Request,1,0,Security,Low,39.0,2.5649493574615367,0,0,1,small_team,0.6931471805599453,1,0,few,0,minimal,0,0,0,0,0,0,0,0,0,0,2.876609179096604,0,1.0,1.514900409669805
Api,Smb,Low,Mid,0,0,820.0,7.0,1.0,5.9.19,Performance,3,0,Security,Low,44.0,2.0794415416798357,0,0,1,small_team,0.0,0,0,none,0,standard,0,0,0,0,0,0,0,0,0,0,2.6717766166719343,0,0.4,2.0794415416798357
Devops,Free-Tier,Medium,Junior,1,3,608.0,13.0,2.0,2.8.5,Question,3,1,Qa,Medium,14.0,2.6390573296152584,0,0,1,small_team,1.3862943611198906,1,0,moderate,0,standard,0,0,0,0,0,0,0,0,0,0,2.9488818040700817,0,1.0,1.1059227950305115
Devops,Smb,High,Mid,1,1,411.0,11.0,1.0,4.4.6,Question,1,0,Support,High,8.0,2.4849066497880004,0,0,1,small_team,0.6931471805599453,1,0,few,0,minimal,0,0,0,0,0,0,0,0,0,0,2.1545920960271894,0,1.0,1.4676258970978588
Auth,Enterprise,Urgent,Mid,1,2,669.0,19.0,1.0,2.2.12,Bug,2,0,Support,High,17.0,2.995732273553991,0,0,1,small_team,1.0986122886681098,1,0,few,0,standard,1,0,0,0,0,0,0,0,0,0,2.9560153671552185,0,1.0,1.4274824796033385
Devops,Smb,High,Junior,0,0,597.5284210526315,10.0,1.003157894736842,1.2.10,Bug,4,0,Dev,Medium,33.0,2.3978952727983707,0,0,1,small_team,0.0,0,0,none,1,complex,0,0,0,0,0,0,0,0,0,0,2.3548465301719794,0,0.4,2.3978952727983707
Auth,Enterprise,Medium,Senior,1,0,549.0,13.0,0.0,2.9.11,Bug,0,0,Sre,Low,32.0,2.6390573296152584,0,0,1,small_team,0.0,0,0,none,0,minimal,0,0,0,0,0,0,0,0,0,0,2.1536229318461038,0,0.6000000000000001,2.6390573296152584
Devops,Internal,Medium,Senior,1,3,628.0,9.0,1.0,5.5.3,Bug,2,0,Support,Medium,7.0,2.302585092994046,0,0,1,small_team,1.3862943611198906,1,0,moderate,0,standard,0,0,0,0,0,0,0,0,0,0,2.654292909421597,0,1.0,0.9649208121639444
Ml,Smb,Low,Mid,1,3,956.0,8.0,1.0,4.9.14,Bug,4,0,Support,Low,36.0,2.1972245773362196,0,0,1,small_team,1.3862943611198906,1,0,moderate,1,complex,0,0,0,0,0,0,0,0,0,0,3.2681487031584666,0,1.0,0.9207684572095537
Security,Smb,Low,Senior,0,3,647.0,11.0,0.0,3.7.4,Bug,3,0,Security,Low,15.0,2.4849066497880004,0,0,1,small_team,1.3862943611198906,1,0,moderate,0,standard,0,0,0,0,0,0,0,0,0,0,2.5652215321391783,0,0.8,1.0413244444083716
Auth,Smb,Medium,Junior,1,4,597.5284210526315,10.0,1.003157894736842,4.5.19,Feature Request,2,0,Dev,Low,44.0,2.3978952727983707,0,0,1,small_team,1.6094379124341003,1,0,moderate,0,standard,0,0,0,0,0,0,0,0,0,0,2.6767341126588,0,1.0,0.9189317214148999
Backend,Smb,Medium,Junior,1,1,590.0,16.0,1.0,2.9.4,Crash,0,0,Sre,Critical,5.0,2.833213344056216,0,0,1,small_team,0.6931471805599453,1,0,few,0,minimal,0,0,0,0,0,0,0,0,0,0,2.651914773734476,0,1.0,1.6733414416573262
Database,Enterprise,Medium,Junior,1,0,398.0,8.0,0.0,3.3.8,Crash,2,1,Qa,Critical,4.0,2.1972245773362196,0,0,1,small_team,0.0,0,0,none,0,standard,0,0,0,0,0,0,0,0,0,0,1.674889830934488,0,0.2,2.1972245773362196
Ui,Smb,High,Mid,1,0,612.0,13.0,0.0,2.0.8,Bug,2,0,Sre,High,6.0,2.6390573296152584,0,0,1,small_team,0.0,0,0,none,0,standard,0,0,0,0,0,0,0,0,0,0,2.2796229318461037,0,0.6000000000000001,2.6390573296152584
Devops,Enterprise,Medium,Senior,1,0,615.0,15.0,2.0,1.3.3,Bug,0,0,Dev,Low,6.0,2.772588722239781,0,0,1,small_team,0.0,0,0,none,0,minimal,0,0,0,0,0,0,0,0,0,0,2.7390354888959125,0,0.6000000000000001,2.772588722239781
Api,Internal,Low,Mid,1,3,454.0,9.0,1.0,1.0.0,Performance,1,0,Sre,Low,21.0,2.302585092994046,0,0,1,small_team,1.3862943611198906,1,0,moderate,0,minimal,0,0,0,0,0,0,0,0,0,0,2.3062929094215967,0,1.0,0.9649208121639444
Security,Internal,Low,Senior,1,0,421.0,10.0,1.0,3.5.10,Question,2,0,Support,Medium,19.0,2.3978952727983707,0,0,1,small_team,0.0,0,0,none,0,standard,0,0,0,0,0,0,0,0,0,0,2.0011581091193484,0,0.6000000000000001,2.3978952727983707
Devops,Internal,High,Mid,0,0,527.0,8.0,0.0,3.4.9,Bug,3,0,Sre,High,7.0,2.1972245773362196,0,0,1,small_team,0.0,0,0,none,0,standard,0,0,0,0,0,0,0,0,0,0,1.932889830934488,0,0.4,2.1972245773362196
Api,Smb,High,Mid,1,0,609.0,7.0,1.0,4.9.17,Performance,2,1,Dev,Medium,2.0,2.0794415416798357,0,0,1,small_team,0.0,0,0,none,0,standard,0,0,0,0,0,0,0,0,0,0,2.2497766166719346,0,0.6000000000000001,2.0794415416798357
Database,Smb,High,Mid,1,0,531.0,4.0,1.0,4.0.2,Bug,3,0,Sre,High,12.0,1.6094379124341003,0,0,1,individual,0.0,0,0,none,0,standard,0,0,0,0,0,0,0,0,0,0,1.90577516497364,0,0.6000000000000001,1.6094379124341003
Database,Enterprise,Low,Junior,0,1,442.0,9.0,1.0,5.4.15,Performance,1,1,Dev,Low,29.0,2.302585092994046,0,0,1,small_team,0.6931471805599453,1,0,few,0,minimal,0,0,0,0,0,0,0,0,0,0,2.1436634733096076,0,0.8,1.359943848610108
Database,Internal,Urgent,Junior,0,2,643.0,14.0,0.0,2.4.6,Bug,2,0,Support,Critical,4.0,2.70805020110221,0,0,1,small_team,1.0986122886681098,1,0,few,0,standard,0,0,0,0,0,0,0,0,0,0,2.588942538174506,0,0.8,1.2904004306678685
