ticket_id,submitted_at,product_area,customer_type,priority,reporter_experience,reproduction_steps,num_attachments,description_length,affected_users_count,prev_similar_tickets,module_version,ticket_type,auto_tag_count,sla_breached,assigned_team,severity,resolved_at
TCKT-100021,4/23/2024 11:21,ML,Enterprise,Medium,Senior,TRUE,2,613,15,3,3.7.2,Question,2,No,SRE,Medium,4/24/2024 12:21
TCKT-100022,8/11/2023 14:37,API,Enterprise,Medium,Mid,TRUE,1,508,9,0,3.0.4,Question,4,No,Dev,Medium,8/12/2023 14:37
TCKT-100023,7/14/2024 12:15,Security,Enterprise,High,Mid,FALSE,2,,,,1.1.17,Bug,2,No,Dev,High,7/15/2024 3:15
TCKT-100024,12/18/2024 20:23,DevOps,Internal,Medium,Junior,TRUE,3,897,10,1,4.9.1,Bug,0,No,Dev,Low,12/19/2024 21:23
TCKT-100025,6/5/2024 10:53,Database,Enterprise,Medium,Mid,TRUE,0,416,7,2,5.9.2,Bug,3,No,Support,Medium,6/6/2024 18:53
TCKT-100026,6/21/2023 6:53,Database,Enterprise,Medium,Junior,FALSE,0,645,12,0,1.8.3,Bug,0,No,QA,Medium,6/22/2023 16:53
TCKT-100027,12/17/2024 10:19,API,Free-tier,Medium,Junior,FALSE,0,468,9,1,5.3.16,Bug,1,Yes,QA,Medium,12/17/2024 9:19
TCKT-100028,7/12/2023 5:12,Security,Enterprise,Medium,Mid,FALSE,1,553,16,2,4.3.11,Bug,2,No,QA,Medium,7/13/2023 8:12
TCKT-100029,4/24/2023 13:15,DevOps,Free-tier,Low,Junior,TRUE,3,,,,3.3.4,Feature Request,2,No,Security,Low,4/26/2023 1:15
TCKT-100030,2/23/2023 2:42,ML,SMB,Low,Junior,TRUE,1,647,13,3,3.5.8,Bug,2,No,QA,Medium,2/24/2023 4:42
TCKT-100031,5/2/2023 23:31,UI,Internal,Low,Mid,TRUE,2,566,15,0,3.1.9,Bug,2,Yes,SRE,Low,5/4/2023 19:31
TCKT-100032,6/28/2023 10:50,DevOps,Enterprise,Low,Junior,TRUE,2,502,14,2,5.6.14,Feature Request,2,No,Support,Low,6/29/2023 2:50
TCKT-100033,6/16/2024 11:47,API,Enterprise,Medium,Mid,FALSE,2,,,,2.9.10,Feature Request,2,Yes,SRE,Low,6/18/2024 5:47
TCKT-100034,12/8/2024 16:31,Database,Internal,High,Junior,FALSE,1,856,6,2,5.7.7,Bug,1,No,Dev,High,12/9/2024 10:31
TCKT-100035,4/11/2023 5:56,ML,Internal,High,Mid,FALSE,0,464,11,1,2.6.11,bug,0,Yes,SRE,High,4/12/2023 1:56
TCKT-100036,3/10/2023 20:32,DevOps,Internal,High,Mid,TRUE,3,886,7,0,4.1.17,Bug,4,No,SRE,Medium,3/11/2023 2:32
TCKT-100037,2/15/2025 22:25,UI,Enterprise,Medium,Mid,FALSE,0,779,9,0,3.2.2,Crash,2,Yes,SRE,High,2/16/2025 6:25
TCKT-100038,5/29/2024 21:04,UI,Internal,Medium,Junior,FALSE,1,805,14,2,1.5.15,Feature Request,1,Yes,Security,Medium,5/30/2024 7:04
TCKT-100039,12/24/2023 9:51,Backend,Internal,Medium,Junior,TRUE,4,646,10,0,4.4.16,Crash,3,No,Support,Critical,12/24/2023 14:51
TCKT-100040,3/20/2025 21:39,Backend,SMB,Low,Junior,TRUE,1,775,5,3,5.5.11,Feature Request,4,Yes,QA,Low,3/21/2025 17:39
TCKT-100041,12/22/2024 5:25,Auth,Internal,Low,Mid,FALSE,5,448,6,0,4.3.8,Crash,3,No,SRE,High,12/23/2024 1:25
TCKT-100042,3/21/2025 18:21,API,Internal,Medium,Senior,TRUE,0,499,13,1,4.9.7,Bug,1,No,Dev,Low,3/23/2025 7:21
TCKT-100043,9/12/2024 13:29,Security,SMB,Urgent,Junior,FALSE,2,714,14,1,3.8.12,Bug,6,No,Support,High,9/13/2024 3:29
TCKT-100044,6/4/2025 2:59,DevOps,Enterprise,Low,Junior,TRUE,0,644,7,0,5.2.17,Feature Request,1,No,Support,Low,6/6/2025 1:59
TCKT-100045,3/18/2025 6:21,DevOps,SMB,Low,Junior,FALSE,1,577,14,1,1.0.8,Bug,2,No,SRE,Low,3/19/2025 14:21
TCKT-100046,5/8/2024 11:56,Security,Enterprise,High,Mid,FALSE,1,224,8,0,2.8.11,Bug,1,No,Support,High,5/8/2024 19:56
TCKT-100047,9/24/2023 0:10,Auth,SMB,Low,Mid,TRUE,1,534,9,1,2.7.3,Bug,1,No,Support,Low,9/25/2023 15:10
TCKT-100048,1/26/2025 9:53,Database,SMB,High,Mid,FALSE,2,423,8,2,5.6.9,Bug,1,No,Support,Medium,1/27/2025 7:53
TCKT-100049,12/20/2023 8:22,Database,Enterprise,High,Senior,TRUE,0,674,19,1,4.9.14,Bug,2,No,Support,Medium,12/20/2023 15:22
TCKT-100050,5/6/2025 11:47,Auth,Enterprise,Urgent,Mid,TRUE,0,571,11,0,2.7.15,Bug,3,No,Dev,High,5/7/2025 2:47
TCKT-100051,5/2/2023 12:57,Database,Enterprise,Medium,Junior,TRUE,2,505,12,1,2.9.14,Performance,2,No,Dev,Medium,5/3/2023 2:57
TCKT-100052,11/7/2023 22:20,Backend,Internal,Medium,Junior,TRUE,1,996,4,0,4.2.9,Performance,3,No,Dev,Medium,11/9/2023 1:20
TCKT-100053,12/2/2023 0:23,DevOps,Free-tier,Medium,Mid,FALSE,4,755,6,2,4.4.1,Crash,0,Yes,QA,High,12/2/2023 10:23
TCKT-100054,3/1/2023 8:07,Auth,Enterprise,Medium,Mid,FALSE,1,758,11,1,2.8.18,Bug,1,No,Dev,Medium,3/2/2023 5:07
TCKT-100055,4/25/2024 17:08,DevOps,Free-tier,Medium,Mid,TRUE,0,930,13,1,2.9.0,Bug,3,No,QA,Medium,4/26/2024 18:08
TCKT-100056,2/18/2025 11:23,Security,SMB,Low,Mid,TRUE,1,720,9,0,5.5.2,Bug,2,No,SRE,Low,2/19/2025 14:23
TCKT-100057,5/14/2024 9:21,UI,Enterprise,Medium,Mid,TRUE,1,484,8,0,5.1.9,Bug,4,No,Support,Medium,5/15/2024 16:21
TCKT-100058,2/19/2024 11:30,Backend,Enterprise,Medium,Senior,TRUE,0,466,6,1,1.6.12,Bug,2,No,Dev,Medium,2/20/2024 6:30
TCKT-100059,7/21/2023 11:26,ML,SMB,High,Mid,FALSE,0,744,7,1,3.0.12,Bug,3,Yes,SRE,Medium,7/22/2023 15:26
TCKT-100060,5/27/2024 4:33,Backend,Internal,High,Mid,TRUE,1,291,7,1,1.4.13,Bug,2,Yes,Support,High,5/27/2024 17:33
TCKT-100061,7/17/2023 21:38,Auth,Internal,Medium,Junior,TRUE,1,588,10,1,4.5.15,Feature Request,2,No,SRE,Medium,7/18/2023 7:38
TCKT-100062,10/26/2023 17:17,ML,Enterprise,Low,Mid,TRUE,1,274,15,1,2.5.19,Bug,2,No,Security,Low,10/27/2023 18:17
TCKT-100063,10/1/2023 18:45,UI,Enterprise,High,Senior,TRUE,0,614,6,0,1.9.18,Bug,2,No,Support,High,10/1/2023 21:45
TCKT-100064,6/9/2024 14:31,Auth,SMB,Medium,Mid,FALSE,1,728,9,3,2.7.17,Bug,6,No,Support,Medium,6/10/2024 13:31
TCKT-100065,1/19/2023 23:08,API,Enterprise,High,Mid,TRUE,2,,,,2.6.4,Bug,0,Yes,QA,High,1/20/2023 19:08
TCKT-100066,3/21/2024 20:07,DevOps,Enterprise,Urgent,Mid,TRUE,0,740,6,1,1.6.15,Bug,1,No,Support,Critical,3/21/2024 23:07
TCKT-100067,1/13/2024 2:12,UI,Enterprise,Low,Junior,FALSE,1,894,7,1,2.7.15,Bug,3,No,SRE,Low,1/14/2024 9:12
TCKT-100068,7/31/2023 20:36,DevOps,Internal,High,Mid,FALSE,2,578,14,1,1.3.15,Question,1,No,Security,Medium,8/1/2023 13:36
TCKT-100069,3/14/2024 17:55,Database,Free-tier,Low,Junior,FALSE,3,1021,9,0,4.4.4,Crash,2,Yes,Security,High,3/15/2024 10:55
TCKT-100070,9/24/2023 0:24,API,SMB,Medium,Senior,FALSE,2,631,5,2,4.0.8,Bug,1,No,Dev,Low,9/25/2023 17:24
TCKT-100071,5/15/2024 14:31,API,Free-tier,Medium,Senior,FALSE,2,742,11,1,5.0.18,Question,1,Yes,Dev,Medium,5/16/2024 13:31
TCKT-100072,5/12/2024 18:03,UI,Enterprise,Low,Junior,TRUE,0,508,10,0,1.6.9,Bug,3,No,SRE,Low,5/13/2024 3:03
TCKT-100073,2/27/2023 6:25,API,SMB,High,Junior,TRUE,1,842,10,1,5.9.6,Feature Request,2,No,Dev,Medium,2/27/2023 9:25
TCKT-100074,5/27/2023 21:31,ML,Enterprise,Low,Mid,TRUE,1,756,12,1,1.6.4,Feature Request,1,No,Security,Low,5/29/2023 12:31
TCKT-100075,10/25/2023 7:16,API,SMB,Low,Mid,FALSE,0,820,7,1,5.9.19,Performance,3,No,Security,Low,10/27/2023 3:16
TCKT-100076,7/20/2024 17:33,DevOps,Free-tier,Medium,Junior,TRUE,3,608,13,2,2.8.5,Question,3,Yes,QA,Medium,7/21/2024 7:33
TCKT-100077,4/1/2025 9:30,DevOps,SMB,High,Mid,TRUE,1,411,11,1,4.4.6,Question,1,No,Support,High,4/1/2025 17:30
TCKT-100078,10/31/2024 0:29,Auth,Enterprise,Urgent,Mid,TRUE,2,669,19,1,2.2.12,Bug,2,No,Support,High,10/31/2024 17:29
TCKT-100079,12/13/2023 20:50,DevOps,SMB,High,Junior,FALSE,0,,,,1.2.10,Bug,4,No,Dev,Medium,12/15/2023 5:50
TCKT-100080,11/9/2024 11:36,Auth,Enterprise,Medium,Senior,TRUE,0,549,13,0,2.9.11,Bug,0,No,SRE,Low,11/10/2024 19:36
TCKT-100081,1/25/2025 15:27,DevOps,Internal,Medium,Senior,TRUE,3,628,9,1,5.5.3,Bug,2,No,Support,Medium,1/25/2025 22:27
TCKT-100082,11/19/2023 0:50,ML,SMB,Low,Mid,TRUE,3,956,8,1,4.9.14,Bug,4,No,Support,Low,11/20/2023 12:50
TCKT-100083,5/12/2025 6:43,Security,SMB,Low,Senior,FALSE,3,647,11,0,3.7.4,Bug,3,No,Security,Low,5/12/2025 21:43
TCKT-100084,10/1/2024 15:11,Auth,SMB,Medium,Junior,TRUE,4,,,,4.5.19,Feature Request,2,No,Dev,Low,10/3/2024 11:11
TCKT-100085,4/30/2023 8:32,Backend,SMB,Medium,Junior,TRUE,1,590,16,1,2.9.4,Crash,0,No,SRE,Critical,4/30/2023 13:32
TCKT-100086,4/7/2023 15:23,Database,Enterprise,Medium,Junior,TRUE,0,398,8,0,3.3.8,Crash,2,Yes,QA,Critical,4/7/2023 19:23
TCKT-100087,6/28/2025 5:14,UI,SMB,High,Mid,TRUE,0,612,13,0,2.0.8,Bug,2,No,SRE,High,6/28/2025 11:14
TCKT-100088,11/27/2023 20:05,DevOps,Enterprise,Medium,Senior,TRUE,0,615,15,2,1.3.3,bug,0,No,Dev,Low,11/28/2023 2:05
TCKT-100089,11/23/2023 20:59,API,Internal,Low,Mid,TRUE,3,454,9,1,1.0.0,Performance,1,No,SRE,Low,11/24/2023 17:59
TCKT-100090,12/10/2023 8:23,Security,Internal,Low,Senior,TRUE,0,421,10,1,3.5.10,Question,2,No,Support,Medium,12/11/2023 3:23
TCKT-100091,11/9/2023 4:27,DevOps,Internal,High,Mid,FALSE,0,527,8,0,3.4.9,Bug,3,No,SRE,High,11/9/2023 11:27
TCKT-100092,6/14/2025 4:54,API,SMB,High,Mid,TRUE,0,609,7,1,4.9.17,Performance,2,Yes,Dev,Medium,6/14/2025 6:54
TCKT-100093,2/15/2024 1:21,Database,SMB,High,Mid,TRUE,0,531,4,1,4.0.2,Bug,3,No,SRE,High,2/15/2024 13:21
TCKT-100094,2/13/2025 0:12,Database,Enterprise,Low,Junior,FALSE,1,442,9,1,5.4.15,Performance,1,Yes,Dev,Low,2/14/2025 5:12
TCKT-100095,2/11/2025 8:35,Database,Internal,Urgent,Junior,FALSE,2,643,14,0,2.4.6,Bug,2,No,Support,Critical,2/11/2025 12:35
TCKT-100096,6/18/2025 8:17,API,Enterprise,Low,Mid,TRUE,2,680,11,3,5.9.14,Performance,4,Yes,Security,Low,6/19/2025 11:17
TCKT-100097,3/22/2023 23:22,DevOps,SMB,Low,Mid,TRUE,0,618,11,0,5.6.17,Question,1,No,SRE,Low,3/23/2023 19:22
TCKT-100098,1/30/2025 15:14,Database,Enterprise,Urgent,Mid,FALSE,0,515,13,2,3.2.16,Bug,2,No,Support,High,1/30/2025 20:14
TCKT-100099,9/17/2023 7:16,ML,Enterprise,Low,Mid,FALSE,0,689,9,2,1.9.8,Bug,1,No,Security,Low,9/17/2023 14:16
TCKT-100100,5/30/2023 13:27,Auth,SMB,Medium,Junior,TRUE,1,,,,4.8.15,Question,1,No,Support,Medium,5/31/2023 0:27
TCKT-100101,5/16/2023 9:57,API,Enterprise,Low,Mid,TRUE,1,421,7,0,5.8.1,Bug,5,No,Security,Low,5/17/2023 3:57
TCKT-100102,4/1/2025 10:21,API,Internal,Medium,Mid,TRUE,1,755,12,0,4.6.6,Bug,1,No,Security,Medium,4/2/2025 14:21
TCKT-100103,11/27/2023 17:06,DevOps,Enterprise,Urgent,Mid,TRUE,1,653,9,0,4.2.2,Bug,3,No,QA,Critical,11/27/2023 21:06
TCKT-100104,5/16/2025 16:49,API,Enterprise,Medium,Senior,TRUE,0,582,17,2,2.9.5,Feature Request,1,No,Security,Low,5/17/2025 22:49
TCKT-100105,4/30/2025 13:29,API,SMB,Medium,Mid,TRUE,2,364,6,2,2.7.19,Bug,1,Yes,Security,Medium,5/1/2025 2:29
TCKT-100106,3/4/2024 22:01,Database,Enterprise,Low,Mid,TRUE,2,,,,2.8.14,Feature Request,1,No,Support,Low,3/5/2024 15:01
TCKT-100107,6/21/2023 14:25,DevOps,Enterprise,Medium,Senior,TRUE,2,902,15,0,1.1.9,Bug,2,No,Dev,Low,6/22/2023 17:25
TCKT-100108,9/22/2024 13:22,Database,Internal,Medium,Senior,TRUE,1,373,7,2,4.0.10,Bug,1,No,Security,Medium,9/22/2024 16:22
TCKT-100109,5/12/2023 12:37,Auth,Enterprise,Low,Senior,TRUE,6,562,18,0,3.0.8,Bug,1,No,Security,Low,5/13/2023 3:37
TCKT-100110,1/31/2023 11:59,Security,Internal,Medium,Junior,TRUE,1,597,6,1,3.1.10,Bug,3,No,Dev,Medium,2/1/2023 9:59
TCKT-100111,12/1/2023 21:52,Auth,Enterprise,Low,Junior,TRUE,6,648,18,1,3.2.3,Bug,0,No,Security,Low,12/2/2023 2:52
TCKT-100112,12/29/2024 12:01,Security,Enterprise,Urgent,Junior,FALSE,0,375,7,3,3.6.8,Feature Request,1,No,SRE,Critical,12/29/2024 19:01
TCKT-100113,7/5/2023 5:49,Database,Internal,Medium,Junior,TRUE,0,626,7,2,2.4.1,Performance,3,Yes,SRE,Medium,7/5/2023 19:49
TCKT-100114,1/30/2023 0:23,Auth,Enterprise,Low,Senior,FALSE,1,347,16,1,4.3.12,Bug,3,No,Support,Medium,1/30/2023 21:23
TCKT-100115,12/27/2024 23:54,DevOps,Enterprise,Medium,Mid,TRUE,1,614,14,0,2.0.17,Question,0,No,QA,Medium,12/28/2024 11:54
TCKT-100116,12/27/2024 16:12,UI,Enterprise,Medium,Junior,TRUE,2,502,8,0,3.6.1,Bug,3,No,SRE,Medium,12/27/2024 23:12
TCKT-100117,6/18/2024 4:28,Database,Enterprise,High,Junior,TRUE,2,470,9,0,4.4.18,Feature Request,4,No,SRE,Medium,6/19/2024 2:28
TCKT-100118,6/7/2024 6:58,Security,Internal,Urgent,Junior,FALSE,2,725,10,1,4.9.12,Bug,0,Yes,Security,Critical,6/7/2024 16:58
TCKT-100119,3/30/2023 6:34,ML,Enterprise,Medium,Mid,TRUE,42,564,1738,0,3.7.9,Bug,0,No,Security,Medium,3/31/2023 12:34
TCKT-100120,1/3/2024 10:43,Security,Internal,High,Mid,TRUE,0,671,7,1,3.8.8,Performance,3,Yes,SRE,Medium,1/3/2024 23:43
TCKT-100121,12/4/2024 4:05,ML,Internal,Medium,Senior,TRUE,0,676,5,0,5.0.11,Bug,3,No,SRE,Medium,12/5/2024 7:05
TCKT-100122,5/4/2024 20:43,API,SMB,Low,Senior,FALSE,0,790,6,2,2.2.7,Performance,1,No,Security,Low,5/5/2024 16:43
TCKT-100123,4/11/2024 2:43,Auth,Free-tier,Medium,Junior,FALSE,0,418,7,0,1.9.15,Bug,3,No,Dev,Medium,4/12/2024 7:43
TCKT-100124,1/6/2023 23:56,ML,Enterprise,Medium,Mid,TRUE,5,737,8,0,5.8.0,Performance,2,No,SRE,Low,1/7/2023 7:56
TCKT-100125,8/25/2024 20:54,Security,Free-tier,Medium,Junior,TRUE,1,602,7,0,5.2.0,Crash,3,No,QA,High,8/26/2024 12:54
TCKT-100126,11/11/2023 8:05,API,Enterprise,High,Mid,TRUE,3,543,9,2,3.6.9,Bug,4,Yes,Dev,Medium,11/11/2023 14:05
TCKT-100127,4/10/2025 12:13,UI,SMB,Medium,Senior,TRUE,1,427,6,1,5.1.4,Feature Request,2,No,QA,Medium,4/10/2025 17:13
TCKT-100128,11/7/2024 3:20,DevOps,SMB,Urgent,Mid,TRUE,0,690,9,0,2.3.2,Bug,3,No,QA,High,11/7/2024 17:20
TCKT-100129,12/8/2023 10:29,DevOps,Enterprise,High,Mid,FALSE,2,461,13,0,2.7.8,Bug,1,No,Support,High,12/9/2023 5:29
TCKT-100130,4/14/2024 10:34,DevOps,SMB,Medium,Mid,FALSE,2,677,17,2,5.1.18,Feature Request,1,No,Security,Low,4/16/2024 7:34
TCKT-100131,2/6/2024 2:18,ML,Internal,Medium,Junior,TRUE,0,889,10,0,5.3.7,Bug,3,Yes,QA,Medium,2/6/2024 18:18
TCKT-100132,12/18/2024 15:45,UI,Enterprise,Medium,Junior,TRUE,1,746,13,0,3.0.14,Bug,4,No,SRE,Medium,12/19/2024 23:45
TCKT-100133,2/26/2025 23:09,ML,Enterprise,Urgent,Mid,TRUE,1,808,18,1,2.7.5,Feature Request,1,No,SRE,Critical,2/27/2025 6:09
TCKT-100134,2/2/2023 15:06,Auth,Internal,Medium,Mid,TRUE,0,492,10,2,1.9.16,Bug,3,No,Dev,Medium,2/3/2023 21:06
TCKT-100135,10/29/2024 5:41,ML,SMB,Low,Junior,TRUE,1,714,10,1,4.1.15,Feature Request,4,No,SRE,Low,10/30/2024 2:41
TCKT-100136,10/23/2023 3:56,UI,Free-tier,Medium,Mid,TRUE,2,428,10,0,3.2.15,Performance,1,No,SRE,Medium,10/24/2023 13:56
TCKT-100137,7/8/2023 5:05,UI,Internal,Medium,Senior,TRUE,2,564,5,1,1.9.8,Performance,1,No,Support,Medium,7/9/2023 8:05
TCKT-100138,4/8/2025 15:36,Auth,Free-tier,Low,Mid,TRUE,3,861,9,1,1.9.0,Bug,0,Yes,QA,Medium,4/9/2025 9:36
TCKT-100139,12/25/2023 17:58,UI,Internal,Low,Mid,FALSE,3,508,10,1,3.6.17,Bug,1,No,Security,Low,12/27/2023 5:58
TCKT-100140,4/15/2025 2:23,Security,Enterprise,Medium,Mid,TRUE,2,766,11,2,1.9.0,Bug,3,No,Dev,Medium,4/15/2025 18:23
TCKT-100141,1/7/2025 10:43,UI,Enterprise,Medium,Mid,TRUE,1,752,9,3,3.3.4,Bug,0,No,Support,Medium,1/7/2025 20:43
TCKT-100142,4/10/2023 12:53,DevOps,Internal,Medium,Mid,TRUE,0,761,15,0,5.7.17,Bug,1,Yes,QA,Medium,4/10/2023 16:53
TCKT-100143,2/17/2023 13:36,Security,SMB,Low,Senior,TRUE,1,409,10,1,5.8.10,Bug,0,No,QA,Low,2/18/2023 1:36
TCKT-100144,12/13/2024 22:57,Security,Enterprise,Low,Mid,FALSE,0,,,,3.7.17,Bug,2,No,SRE,Low,12/15/2024 16:57
TCKT-100145,3/28/2024 4:06,Auth,Enterprise,Medium,Mid,FALSE,1,576,8,1,1.4.8,Feature Request,1,No,SRE,Medium,3/28/2024 15:06
TCKT-100146,4/26/2024 13:04,Backend,Free-tier,Medium,Junior,TRUE,5,763,11,1,5.6.14,Performance,4,Yes,Dev,Medium,4/27/2024 8:04
TCKT-100147,6/25/2025 0:52,Backend,SMB,Low,Junior,FALSE,1,351,8,0,1.4.4,Crash,1,No,Security,Critical,6/25/2025 2:52
TCKT-100148,2/16/2024 10:46,UI,SMB,Medium,Mid,TRUE,1,655,13,1,3.5.9,Crash,0,No,SRE,Critical,2/16/2024 20:46
TCKT-100149,4/13/2025 16:38,Security,SMB,Medium,Senior,FALSE,1,633,7,2,4.1.2,Bug,1,No,Security,Low,4/14/2025 8:38
TCKT-100150,4/4/2025 17:37,Backend,Enterprise,Low,Mid,TRUE,0,301,9,1,2.3.4,Bug,3,Yes,SRE,Low,4/6/2025 14:37
TCKT-100151,9/23/2024 21:44,Backend,Enterprise,Low,Junior,TRUE,1,,,,2.7.4,Bug,2,No,Security,Low,9/24/2024 15:44
TCKT-100152,1/19/2024 12:06,UI,Enterprise,Low,Junior,TRUE,2,325,13,2,1.6.3,Bug,1,No,SRE,Low,1/19/2024 22:06
TCKT-100153,2/11/2024 11:05,Backend,Enterprise,High,Mid,FALSE,0,491,10,3,3.7.13,Bug,1,No,SRE,Medium,2/11/2024 13:05
TCKT-100154,1/6/2023 4:14,ML,Internal,High,Junior,TRUE,1,682,8,1,5.8.4,Crash,1,No,SRE,High,1/6/2023 23:14
TCKT-100155,9/28/2024 18:35,API,SMB,High,Junior,FALSE,0,629,4,0,2.9.12,Bug,0,No,SRE,High,9/29/2024 16:35
TCKT-100156,8/16/2023 4:54,Auth,Internal,High,Mid,TRUE,1,625,5,0,3.3.10,Bug,2,No,Security,Medium,8/16/2023 18:54
TCKT-100157,5/10/2025 18:34,API,Internal,Medium,Junior,FALSE,0,,,,1.5.11,Performance,2,No,Support,Medium,5/11/2025 16:34
TCKT-100158,7/8/2023 18:10,UI,Enterprise,Medium,Mid,TRUE,2,768,14,2,5.8.7,Crash,2,No,Dev,Critical,7/9/2023 3:10
TCKT-100159,3/19/2024 5:25,DevOps,SMB,Medium,Mid,FALSE,1,597,15,1,1.8.19,Bug,2,No,Support,Low,3/19/2024 20:25
TCKT-100160,8/17/2024 0:17,Auth,SMB,Low,Junior,TRUE,1,605,5,4,2.8.3,Bug,5,No,Security,Low,8/18/2024 6:17
TCKT-100161,2/17/2024 1:56,UI,Internal,Medium,Mid,TRUE,3,741,11,0,2.0.18,Feature Request,2,No,Dev,Medium,2/17/2024 23:56
TCKT-100162,9/2/2024 16:58,Security,Enterprise,High,Mid,FALSE,0,451,11,2,2.1.15,Bug,0,No,SRE,High,9/3/2024 13:58
TCKT-100163,3/27/2024 7:31,DevOps,SMB,Medium,Mid,FALSE,4,634,15,1,4.6.3,Bug,0,Yes,Support,Medium,3/27/2024 21:31
TCKT-100164,12/30/2024 23:41,API,SMB,Medium,Mid,TRUE,4,663,13,2,1.8.1,Question,2,No,Dev,Low,12/31/2024 19:41
TCKT-100165,11/12/2024 21:20,UI,Enterprise,Low,Mid,TRUE,0,518,10,1,3.7.18,Bug,1,No,Support,Low,11/14/2024 5:20
TCKT-100166,7/26/2023 22:51,Security,Enterprise,Medium,Senior,TRUE,3,697,7,1,4.2.17,Bug,4,No,Security,Medium,7/28/2023 4:51
TCKT-100167,10/17/2023 7:48,Auth,SMB,Medium,Mid,TRUE,1,671,8,0,1.2.8,Bug,4,Yes,Dev,Medium,10/18/2023 11:48
TCKT-100168,11/2/2024 15:57,Auth,Internal,High,Mid,TRUE,1,,,,1.9.4,Bug,2,No,SRE,Medium,11/2/2024 18:57
TCKT-100169,1/23/2025 12:33,Database,Enterprise,Medium,Junior,TRUE,1,580,7,0,5.7.13,Bug,1,No,QA,Medium,1/23/2025 22:33
TCKT-100170,7/20/2023 7:28,Security,SMB,High,Junior,TRUE,0,678,11,2,5.4.3,Feature Request,1,No,SRE,High,7/21/2023 2:28
TCKT-100171,6/12/2023 17:21,ML,Enterprise,Medium,Junior,FALSE,1,718,9,3,1.0.5,Feature Request,3,No,QA,Medium,6/13/2023 15:21
